VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARCHALE,116,63,53,784,393,391,343,168,175,115,63,52,63,54,9,20,11,9,10,7,3,1,1,0,0,0,0,237,79,158,1,1,0
ARGALI,33,18,15,763,365,398,581,272,309,370,152,218,358,156,202,141,67,74,35,23,12,12,9,3,0,0,0,220,87,133,2,1,1
BAHADURPUR,42,18,24,496,254,242,211,102,109,74,48,26,61,30,31,18,15,3,6,6,0,0,0,0,0,0,0,18,5,13,7,3,4
BALDENGADHI,97,48,49,751,422,329,237,119,118,111,51,60,79,37,42,23,11,12,5,3,2,0,0,0,0,0,0,130,37,93,8,3,5
BANDIPOKHARA,64,26,38,601,277,324,374,173,201,245,109,136,157,80,77,53,30,23,14,9,5,6,4,2,0,0,0,187,99,88,0,0,0
BARANGDI,69,48,21,504,253,251,406,178,228,299,131,168,238,116,122,94,62,32,29,20,9,5,3,2,0,0,0,107,65,42,1,1,0
BHAIRABSTHAN,36,19,17,602,295,307,317,134,183,202,71,131,159,83,76,50,26,24,16,13,3,12,9,3,0,0,0,204,85,119,3,2,1
BHUWANPOKHARI,116,54,62,1825,858,967,750,347,403,372,160,212,272,135,137,66,40,26,21,14,7,9,7,2,0,0,0,249,98,151,4,1,3
BIRKOT,29,20,9,1090,529,561,613,270,343,323,137,186,156,77,79,64,39,25,8,6,2,1,1,0,0,0,0,159,61,98,0,0,0
BODHAPOKHARATHOK,37,12,25,704,338,366,422,189,233,288,133,155,168,87,81,58,36,22,16,10,6,3,2,1,1,1,0,218,68,150,3,1,2
BOUDHAGUMBA,55,28,27,458,202,256,352,142,210,275,115,160,174,76,98,57,25,32,18,13,5,3,3,0,0,0,0,222,104,118,1,0,1
CHAPPANI,58,32,26,522,263,259,362,150,212,242,105,137,171,78,93,58,25,33,26,14,12,3,2,1,0,0,0,140,58,82,2,0,2
