VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAISI BICHAWA,21,2339,2,3,0,0,32,8
BELDANDI,22,2957,2,0,1,0,21,19
CHANDANI,488,3063,5,5,1,3,76,19
DAIJEE,637,4348,7,26,10,11,36,16
DEKHATBHULI,180,3067,9,0,0,0,15,14
DODHARA,29,3581,6,1,0,9,78,28
JHALARI,104,4506,29,1,3,21,111,7
KALIKA,13,2676,3,3,0,1,32,32
KRISHNAPUR,319,6076,14,7,7,192,83,25
LAXMIPUR,10,2155,1,0,1,0,3,5
BHIMDATTA MUNICIPALITY,4531,15184,59,63,155,77,402,213
PARASAN,22,2589,1,0,0,0,19,20
PIPALADI,44,3130,5,4,3,0,37,20
RAIKAWAR BICHAWA,31,2707,3,0,2,1,20,20
RAMPUR BILASIPUR,14,2656,1,1,237,0,0,19
RAUTELI BICHAWA,3,728,0,0,0,0,2,5
SANKARPUR,12,1037,0,0,0,0,2,14
SREEPUR,562,2926,5,1,1,0,2,57
SUDA,506,3481,2,3,8,31,81,16
TRIBHUWANBASTI,303,2354,3,0,0,0,37,27
TOTAL,7851,71560,157,118,429,346,1089,584
