VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ADGURI,470,356,5,98,2,4
ARGHA,1214,93,2,6,1,2
ARGHATOS,483,412,3,115,42,0
ASURKOT,442,53,0,1,4,1
BALKOT,842,173,6,1,2,2
BANGI,1022,44,1,3,6,0
WANGLA,1081,92,4,0,0,4
BHAGAWATI,894,64,3,0,0,1
CHHATRAGANJ,610,60,2,2,1,1
CHIDIKA,671,128,0,6,0,4
DHAKAWANG,860,541,2,105,52,8
DHANCHAUR,2,455,1,343,52,3
DHARAPANI,514,737,2,135,0,3
DHATIWANG,103,92,0,164,66,1
DHIKURA,446,314,3,174,70,2
DIBHARNA,1424,141,1,3,3,1
GOKHUNGA,1,258,2,431,71,0
HANSAPUR,121,468,14,635,626,2
JUKENA,2,669,7,686,71,0
JALUKE,359,400,0,167,306,10
KEEMDADA,762,70,2,0,2,2
KERUNGA,838,235,2,42,0,1
KHANA,951,137,1,2,0,3
KHANCHIKOT,686,104,1,1,4,1
KHANDAHA,768,95,0,18,19,0
KHIDIM,561,225,9,69,0,5
KHILJI,653,125,2,0,20,0
MAIDAN,525,215,2,121,87,5
MARENG,637,239,0,90,0,0
NARPANI,803,76,1,8,6,2
NUWAKOT,769,582,4,223,23,1
PALI,663,283,10,6,0,4
PATAUTI,149,344,0,251,1,1
PANENA,498,27,0,0,31,1
POKHARATHOK,391,348,1,59,0,1
SANDHIKHARKA,3614,124,24,9,5,45
SIDDHARA,29,258,0,776,595,7
SIMALPANI,25,471,1,515,266,6
SITAPUR,746,96,0,7,26,2
SUBARNAKHAL,130,334,1,150,0,2
THADA,1289,428,1,215,135,13
THULAPOKHARA,775,122,3,2,0,7
TOTAL,27823,10488,123,5639,2595,158
