VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
PIPALMADI,6622,3170,3452,3599,2070,1529,224,110,114,2798,989,1809,1,1,0,54.34913923286017,65.29968454258676,44.29316338354577
PURANO JHANGAJHOLI,4333,1971,2362,2576,1386,1190,275,136,139,1472,447,1025,10,2,8,59.45072697899838,70.31963470319634,50.38103302286198
RANIBAS,4563,2055,2508,2642,1406,1236,123,36,87,1797,612,1185,1,1,0,57.90050405435021,68.41849148418491,49.282296650717704
RANICHURI,7967,3719,4248,4445,2364,2081,189,105,84,3327,1248,2079,6,2,4,55.792644659219285,63.56547458994354,48.98775894538606
RATANCHURA,2578,1225,1353,1610,910,700,157,73,84,809,240,569,2,2,0,62.451512800620634,74.28571428571429,51.736881005173686
RATNAWATI,2388,1124,1264,1555,811,744,42,18,24,791,295,496,0,0,0,65.11725293132329,72.15302491103202,58.86075949367089
SANTESWORI (RAMPUR),2415,1181,1234,955,571,384,143,79,64,1315,530,785,2,1,1,39.54451345755693,48.348856900931416,31.118314424635336
SIRTHOULI,6938,3211,3727,4099,2251,1848,242,119,123,2551,820,1731,46,21,25,59.08042663591814,70.10277172220492,49.58411591092031
SITALPATI,3671,1673,1998,2273,1238,1035,86,43,43,1311,392,919,1,0,1,61.91773358757832,73.99880454273759,51.80180180180181
SOLPATHANA,1948,960,988,1027,575,452,193,99,94,727,285,442,1,1,0,52.72073921971252,59.895833333333336,45.74898785425101
SUNAM POKHARI,2171,1030,1141,1315,726,589,36,27,9,820,277,543,0,0,0,60.57116536158452,70.48543689320388,51.6213847502191
TAMAJOR,2034,938,1096,1073,585,488,157,72,85,804,281,523,0,0,0,52.753195673549655,62.36673773987207,44.52554744525548
TANDI,8183,3841,4342,4885,2639,2246,209,86,123,3088,1115,1973,1,1,0,59.69693266528168,68.70606612861235,51.7273146015661
TINKANYA,3741,1776,1965,2085,1124,961,250,114,136,1402,536,866,4,2,2,55.73376102646351,63.288288288288285,48.905852417302796
TOSRAMKHOLA,1760,840,920,1091,595,496,57,33,24,612,212,400,0,0,0,61.98863636363636,70.83333333333334,53.91304347826087
AMBOTE,3598,1749,1849,2194,1229,965,111,51,60,1287,466,821,6,3,3,60.97832128960534,70.26872498570611,52.19037317468902
INSTITUTIONAL,2972,2699,273,2894,2634,260,17,15,2,61,50,11,0,0,0,97.37550471063257,97.59170062986291,95.23809523809523
