VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMALE,371,26,15,3
ARUNTHAKUR,894,82,26,8
BAHUNTILPUNG,155,309,95,0
BALAJOR,351,49,333,1
BASESHWOR,449,121,48,2
BASTIPUR,511,12,19,3
BELGHARI,522,70,156,1
BHADRAKALI,599,123,126,0
BHIMESHWOR,160,281,13,5
BHIMSTHAN,595,210,352,3
BHUWANESHORI GWALTAR,279,74,18,0
BITIJOR BAGAIYA,324,3,20,2
DADIGURANSHE,603,246,123,1
DUDBHANJYANG,483,17,29,0
DUDHOULI,1127,192,418,21
HARIHARPUR GADHI,694,8,6,0
HARSAHI,799,99,62,13
HATPATE,1044,445,134,0
JALKANYA,36,128,230,1
JARAYOTAR,1083,199,136,7
JHANGAJHOLI RATMATA,715,399,76,4
JINAKHU,795,105,44,5
KAKUR THAKUR,770,89,131,5
KALPABRISHYKHA,1439,100,49,6
KAMALAMAI MUNICIPALITY,2538,5280,1462,24
KAPILAKOT,1706,190,68,3
KHANG SANG,423,69,16,2
KHOLAGAUN,333,69,121,5
KUSESWOR DUMJA,342,607,60,1
KYANESHWOR,1497,12,102,6
LADABHIR,895,558,131,1
LAMPANTAR,892,51,202,6
MAHADEVDADA,577,22,56,2
MAHADEVSTHAN,1058,193,51,7
MAHENDRA JHYADI,900,24,31,7
MAJHUWA,426,42,58,0
NETRAKALI,572,16,16,2
NIPANE,497,192,12,1
PIPALMADI,1214,57,17,11
PURANO JHANGAJHOLI,696,234,84,1
RANIBAS,743,302,62,3
RANICHURI,1048,300,329,8
RATANCHURA,293,108,146,1
RATNAWATI,405,33,48,7
SANTESWORI (RAMPUR),369,12,62,3
SIRTHOULI,1194,413,56,10
SITALPATI,635,142,29,6
SOLPATHANA,325,15,51,4
SUNAM POKHARI,371,24,57,0
TAMAJOR,434,6,5,0
TANDI,1459,323,104,10
TINKANYA,724,17,59,5
TOSRAMKHOLA,293,0,36,1
AMBOTE,580,122,65,4
TOTAL,38237,12820,6255,232
