VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMALE,101,309,240,29,2,3,0,11,226,1,0,1,0,1,5
ARUNTHAKUR,323,596,452,21,2,2,0,46,334,0,2,0,0,0,91
BAHUNTILPUNG,170,386,326,74,22,5,0,76,179,0,9,6,0,1,3
BALAJOR,218,481,445,28,15,0,0,59,152,0,0,0,0,0,35
BASESHWOR,139,471,390,111,70,5,1,27,341,0,3,8,0,1,10
BASTIPUR,184,352,330,23,1,0,0,16,100,0,0,1,0,0,9
BELGHARI,232,517,466,38,1,4,0,50,298,0,4,8,0,0,0
BHADRAKALI,215,622,495,193,95,9,2,70,332,0,12,3,2,7,11
BHIMESHWOR,64,384,287,184,124,7,0,76,260,1,14,3,1,22,11
BHIMSTHAN,287,863,776,47,3,1,0,56,444,0,12,7,0,0,10
BHUWANESHORI GWALTAR,66,303,227,50,2,0,0,4,226,0,1,0,0,0,2
BITIJOR BAGAIYA,85,250,229,1,0,0,0,2,133,0,0,0,1,1,14
DADIGURANSHE,227,736,614,156,50,4,0,46,405,0,5,12,1,2,10
DUDBHANJYANG,135,390,352,16,3,1,0,24,202,0,1,1,0,0,4
DUDHOULI,267,1408,623,680,183,34,7,49,1087,2,78,243,0,11,83
HARIHARPUR GADHI,351,350,237,7,0,0,0,6,235,0,0,1,1,0,7
HARSAHI,239,698,337,307,11,4,0,24,570,0,26,67,1,8,36
HATPATE,331,1241,870,388,232,13,1,42,897,1,16,121,4,15,51
JALKANYA,55,339,275,34,17,2,0,5,261,0,3,1,0,1,1
JARAYOTAR,450,930,828,125,4,2,0,195,322,0,6,4,0,0,45
JHANGAJHOLI RATMATA,212,919,837,179,44,2,0,93,654,3,14,8,0,0,63
JINAKHU,456,470,398,21,1,2,0,10,173,0,1,2,0,0,23
KAKUR THAKUR,266,706,510,41,0,10,0,22,447,1,0,20,0,3,23
KALPABRISHYKHA,609,951,780,41,3,5,0,49,475,3,14,61,4,0,34
KAMALAMAI MUNICIPALITY,1200,7988,4763,4607,3778,722,213,1012,6429,140,741,735,56,514,116
KAPILAKOT,652,1304,1005,79,9,16,3,78,778,2,16,51,6,0,11
KHANG SANG,192,309,281,10,0,1,0,10,99,0,3,2,1,0,9
KHOLAGAUN,182,332,288,11,2,0,0,10,174,0,1,0,0,0,14
KUSESWOR DUMJA,306,700,621,80,13,5,1,62,367,2,7,0,0,0,4
KYANESHWOR,673,930,790,83,0,0,0,16,398,0,3,1,2,0,14
LADABHIR,369,1162,682,391,77,7,2,78,828,0,34,234,1,8,54
LAMPANTAR,385,752,649,102,4,2,1,123,330,2,11,8,3,0,14
MAHADEVDADA,223,406,376,0,1,0,0,2,123,0,1,0,1,0,28
MAHADEVSTHAN,378,893,767,40,1,2,0,50,499,1,10,20,0,0,38
MAHENDRA JHYADI,274,681,545,53,19,8,1,22,381,1,4,79,1,0,7
MAJHUWA,71,451,405,57,15,0,0,21,350,0,0,0,0,0,4
NETRAKALI,324,275,235,13,0,0,0,0,115,0,1,0,0,0,7
NIPANE,136,521,328,163,41,1,0,24,390,0,6,35,1,2,45
PIPALMADI,338,856,597,152,5,1,0,11,511,0,4,40,0,0,105
PURANO JHANGAJHOLI,228,736,651,60,4,4,0,24,477,0,1,0,0,0,51
RANIBAS,354,750,437,351,184,7,0,23,492,2,11,70,2,9,6
RANICHURI,425,1226,1064,54,10,0,0,40,620,0,9,11,0,1,34
RATANCHURA,59,480,421,89,20,5,0,4,370,0,13,3,3,0,9
RATNAWATI,121,369,347,13,0,2,0,6,201,0,0,6,0,1,3
SANTESWORI (RAMPUR),114,310,268,9,0,1,0,7,138,0,0,1,0,0,22
SIRTHOULI,308,1221,723,517,74,24,1,83,685,2,34,81,1,24,144
SITALPATI,174,630,524,64,15,2,0,53,490,0,2,0,0,0,8
SOLPATHANA,70,282,264,2,0,0,0,28,100,0,0,0,0,0,43
SUNAM POKHARI,153,299,281,31,0,1,1,20,138,0,2,0,0,0,0
TAMAJOR,218,226,180,3,0,0,0,5,141,0,2,0,0,0,1
TANDI,311,1481,935,599,4,15,1,12,1081,2,40,186,3,8,104
TINKANYA,258,538,474,9,2,1,1,17,283,0,1,0,0,0,9
TOSRAMKHOLA,88,231,201,1,0,0,0,0,131,0,1,0,0,0,11
AMBOTE,227,537,507,35,0,0,0,22,135,0,1,2,0,0,7
