VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMALE,482,551,409,393,72,157,1,1
ARUNTHAKUR,1351,1607,899,1000,408,513,44,94
BAHUNTILPUNG,674,728,510,492,159,230,5,6
BALAJOR,867,1023,661,711,164,254,42,58
BASESHWOR,664,684,466,429,184,230,14,25
BASTIPUR,648,851,458,510,111,189,79,152
BELGHARI,891,899,657,661,204,217,30,21
BHADRAKALI,931,1009,795,795,134,209,2,5
BHIMESHWOR,444,418,357,299,82,109,5,10
BHIMSTHAN,1145,1351,913,984,214,335,18,32
BHUWANESHORI GWALTAR,435,461,342,318,90,137,3,6
BITIJOR BAGAIYA,446,437,294,257,141,170,11,10
DADIGURANSHE,999,1143,776,778,215,347,8,18
DUDBHANJYANG,602,658,403,410,178,221,21,27
DUDHOULI,1814,2037,1333,1290,389,588,92,159
HARIHARPUR GADHI,1167,1349,740,697,415,638,12,14
HARSAHI,936,1184,698,717,217,440,21,27
HATPATE,1645,1829,1262,1225,358,581,25,23
JALKANYA,283,344,231,258,45,77,7,9
JARAYOTAR,1504,1712,1200,1233,253,397,51,82
JHANGAJHOLI RATMATA,974,1120,758,764,192,309,24,47
JINAKHU,1258,1341,841,825,399,505,18,11
KAKUR THAKUR,1312,1412,794,707,451,654,67,51
KALPABRISHYKHA,2235,2505,1518,1444,600,830,117,231
KAMALAMAI MUNICIPALITY,7474,7925,6050,5776,1331,1967,93,182
KAPILAKOT,2739,2952,1851,1727,800,1087,88,138
KHANG SANG,601,668,442,447,149,208,10,13
KHOLAGAUN,592,670,465,462,114,192,13,16
KUSESWOR DUMJA,1039,1196,699,720,295,395,45,81
KYANESHWOR,2216,2552,1351,1311,725,1042,140,199
LADABHIR,1414,1500,1097,1066,283,373,34,61
LAMPANTAR,1249,1389,1042,1062,195,306,12,21
MAHADEVDADA,923,1024,570,610,348,410,5,4
MAHADEVSTHAN,1412,1722,1094,1159,261,439,57,124
MAHENDRA JHYADI,1421,1562,1065,973,281,443,75,146
MAJHUWA,433,540,369,415,53,100,11,25
NETRAKALI,837,894,472,394,362,489,3,11
NIPANE,730,831,542,497,187,329,1,5
PIPALMADI,1760,1956,1220,1087,436,706,104,163
PURANO JHANGAJHOLI,942,1088,755,788,180,291,7,9
RANIBAS,945,1174,734,746,160,304,51,124
RANICHURI,1911,2212,1351,1457,544,734,16,21
RATANCHURA,575,640,456,451,115,177,4,12
RATNAWATI,580,706,400,462,165,230,15,14
SANTESWORI (RAMPUR),676,724,339,273,236,295,101,156
SIRTHOULI,1562,1774,1215,1175,306,494,41,105
SITALPATI,820,961,662,732,152,220,6,9
SOLPATHANA,489,510,376,332,89,133,24,45
SUNAM POKHARI,536,582,451,426,83,155,2,1
TAMAJOR,512,591,370,324,133,255,9,12
TANDI,1965,2182,1435,1386,477,676,53,120
TINKANYA,874,1025,629,690,233,317,12,18
TOSRAMKHOLA,460,500,372,354,88,142,0,4
AMBOTE,941,980,678,659,223,273,40,48
INSTITUTIONAL,715,175,316,91,394,82,5,2
