VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMALE,13,126,1,147,125,3
ARUNTHAKUR,31,436,1,311,223,8
BAHUNTILPUNG,254,140,1,116,48,0
BALAJOR,65,263,1,323,81,1
BASESHWOR,323,189,4,34,68,2
BASTIPUR,8,170,1,155,208,3
BELGHARI,23,276,3,433,13,1
BHADRAKALI,594,183,3,53,15,0
BHIMESHWOR,408,42,2,2,0,5
BHIMSTHAN,3,214,1,734,205,3
BHUWANESHORI GWALTAR,218,31,0,27,95,0
BITIJOR BAGAIYA,2,160,0,107,78,2
DADIGURANSHE,469,175,6,238,84,1
DUDBHANJYANG,0,204,0,217,108,0
DUDHOULI,1544,182,2,6,0,24
HARIHARPUR GADHI,12,109,2,381,204,0
HARSAHI,809,141,0,8,2,13
HATPATE,1237,202,2,124,58,0
JALKANYA,331,43,0,2,18,1
JARAYOTAR,0,223,0,768,427,7
JHANGAJHOLI RATMATA,0,490,2,686,12,4
JINAKHU,12,512,3,281,136,5
KAKUR THAKUR,7,512,4,424,43,5
KALPABRISHYKHA,2,474,0,701,411,6
KAMALAMAI MUNICIPALITY,7934,964,22,199,160,25
KAPILAKOT,19,354,5,892,694,3
KHANG SANG,17,223,0,178,90,2
KHOLAGAUN,116,43,1,191,172,5
KUSESWOR DUMJA,49,404,1,437,118,1
KYANESHWOR,4,246,1,970,391,5
LADABHIR,1014,461,0,106,3,1
LAMPANTAR,142,245,1,615,142,6
MAHADEVDADA,8,309,1,233,104,2
MAHADEVSTHAN,5,209,4,730,354,7
MAHENDRA JHYADI,5,39,1,621,289,7
MAJHUWA,386,82,0,34,24,0
NETRAKALI,131,268,0,199,6,2
NIPANE,544,98,0,12,47,1
PIPALMADI,8,76,2,806,396,11
PURANO JHANGAJHOLI,6,474,1,497,36,1
RANIBAS,949,123,1,4,30,3
RANICHURI,87,441,4,766,380,7
RATANCHURA,211,204,0,94,38,1
RATNAWATI,23,122,1,141,199,7
SANTESWORI (RAMPUR),149,171,0,71,52,3
SIRTHOULI,1522,106,1,25,9,10
SITALPATI,228,332,0,244,2,6
SOLPATHANA,0,39,0,193,159,4
SUNAM POKHARI,154,67,1,105,125,0
TAMAJOR,66,262,1,110,6,0
TANDI,1606,223,3,17,37,10
TINKANYA,23,330,0,267,180,5
TOSRAMKHOLA,0,20,0,112,197,1
AMBOTE,20,378,1,302,66,4
TOTAL,21791,12810,92,15449,7168,234
