VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANKHIBHUI,1161,384,0,3,3,0
BAHRABISE,132,244,0,157,79,10
BALA,3,195,0,198,168,3
BANA,967,176,0,21,13,6
BANESWOR,778,82,0,3,1,0
CHAINPUR,1138,160,1,2,1,10
CHEPUWA,6,67,37,293,0,1
DHUPU,7,373,0,488,76,2
DIDING,2,128,0,397,114,1
HATIYA,7,57,3,519,74,1
JALJALA,525,491,0,147,12,0
KEEMATHNKA,0,3,0,69,0,0
KHANDBARI MUNICIPALITY,5303,838,1,69,22,57
KHARANG,846,264,0,75,47,7
MADI MULKHARKA,897,376,0,23,1,2
MADI RAMBENI,1148,45,0,0,0,3
MAKALU,9,70,0,554,210,6
MAMLING,746,81,0,0,0,0
MANGTEWA,0,149,0,169,92,1
MATSYA POKHARI,12,270,0,480,113,1
MAWADIN,89,565,0,66,1,0
NUM,137,109,0,432,90,4
NUNDHAKI,409,124,0,20,0,0
PATHIBHARA,2,125,0,443,148,0
PAWAKHOLA,2,50,2,399,113,0
SABHA POKHARI,145,268,0,177,32,2
SIDDHAKALI,894,205,0,50,8,4
SIDDHAPOKHARI,683,125,0,0,0,1
SISUWAKHOLA,0,333,0,184,83,4
SITALPATI,437,446,1,244,26,2
SYABUN,206,617,0,423,28,2
TAMAFOK,1381,191,0,4,2,2
TAMKU,129,89,0,317,33,2
YAFU,0,205,1,252,60,1
TOTAL,18201,7905,46,6678,1650,135
