VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANKHIBHUI,1190,8,0,351,1,1
BAHRABISE,396,2,0,210,0,14
BALA,546,0,0,15,3,3
BANA,688,2,0,485,1,7
BANESWOR,766,2,1,95,0,0
CHAINPUR,1075,10,0,208,9,10
CHEPUWA,236,0,0,24,143,1
DHUPU,635,1,0,301,5,4
DIDING,370,1,1,262,7,1
HATIYA,429,0,0,39,191,2
JALJALA,955,0,0,210,8,2
KEEMATHNKA,1,2,0,1,68,0
KHANDBARI MUNICIPALITY,4632,215,45,1252,80,66
KHARANG,937,5,0,288,1,8
MADI MULKHARKA,1228,8,1,52,7,3
MADI RAMBENI,1105,0,0,59,29,3
MAKALU,804,2,1,35,2,5
MAMLING,740,4,3,75,5,0
MANGTEWA,342,0,0,66,1,2
MATSYA POKHARI,791,1,0,81,1,2
MAWADIN,678,0,0,36,0,7
NUM,594,2,1,170,1,4
NUNDHAKI,492,1,0,59,0,1
PATHIBHARA,684,2,0,27,2,3
PAWAKHOLA,437,0,0,128,0,1
SABHA POKHARI,413,4,0,199,1,7
SIDDHAKALI,1057,0,1,81,17,5
SIDDHAPOKHARI,715,2,0,86,4,2
SISUWAKHOLA,450,1,0,148,0,5
SITALPATI,592,3,0,543,14,4
SYABUN,561,1,0,707,5,2
TAMAFOK,1405,7,0,156,10,2
TAMKU,422,0,0,140,7,1
YAFU,363,4,0,146,1,5
TOTAL,26729,290,54,6735,624,183
