VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARNAHA,99,54,45,1084,582,502,486,285,201,383,267,116,118,58,60,100,60,40,49,42,7,4,3,1,6,3,3,30,7,23,71,47,24
AURAHI,94,51,43,1163,619,544,508,305,203,311,237,74,295,229,66,168,117,51,60,54,6,5,5,0,1,0,1,7,5,2,24,16,8
BADGAMA,56,28,28,938,533,405,375,222,153,348,227,121,99,67,32,115,81,34,30,24,6,8,8,0,0,0,0,2,1,1,26,17,9
BAIRAWA,52,25,27,985,532,453,463,281,182,203,150,53,204,139,65,86,63,23,52,37,15,8,7,1,2,2,0,2,2,0,4,1,3
BAKDHAUWA,178,85,93,1452,757,695,888,488,400,587,330,257,565,347,218,232,139,93,78,50,28,10,7,3,9,7,2,130,69,61,166,114,52
BAMANGAMAKATTI,189,116,73,1573,874,699,787,468,319,763,566,197,218,143,75,241,182,59,140,119,21,28,22,6,7,4,3,14,4,10,5,1,4
BANAINIYA,88,51,37,706,378,328,356,219,137,181,129,52,162,115,47,121,85,36,85,70,15,19,17,2,1,1,0,5,3,2,1,1,0
BANARJHULA,54,33,21,1034,519,515,437,258,179,239,125,114,298,185,113,136,82,54,72,49,23,5,5,0,2,1,1,35,23,12,9,6,3
BANAULA,70,38,32,661,340,321,338,193,145,195,130,65,208,135,73,72,48,24,65,50,15,6,6,0,30,7,23,6,5,1,17,9,8
BANAULI,61,33,28,1163,647,516,488,303,185,242,170,72,390,267,123,116,82,34,82,58,24,34,28,6,0,0,0,17,15,2,42,23,19
BARAMJHIYA,58,33,25,939,497,442,398,242,156,306,172,134,156,104,52,159,101,58,74,50,24,1,0,1,2,0,2,3,1,2,62,35,27
BARSAIN (KO.),106,62,44,1070,600,470,539,333,206,274,197,77,181,120,61,116,93,23,93,73,20,19,12,7,3,1,2,41,17,24,17,4,13
BASBALPUR,57,30,27,641,318,323,285,158,127,174,93,81,236,134,102,104,54,50,10,8,2,3,3,0,2,1,1,42,25,17,1,0,1
BASBITI,37,30,7,839,441,398,336,224,112,203,141,62,102,80,22,48,32,16,10,10,0,1,1,0,0,0,0,123,50,73,11,6,5
BATHANAHA,181,107,74,963,551,412,450,288,162,256,185,71,261,193,68,153,101,52,85,66,19,16,14,2,1,0,1,59,44,15,1,1,0
BELHI,3,1,2,836,446,390,348,233,115,175,127,48,193,138,55,98,80,18,49,47,2,8,8,0,3,1,2,1,0,1,14,7,7
BELHICHAPENA,83,44,39,1208,672,536,504,317,187,304,219,85,149,108,41,100,82,18,28,23,5,1,1,0,1,1,0,60,41,19,43,27,16
BHAGAWATPUR,11,10,1,1142,646,496,546,334,212,349,247,102,249,185,64,111,93,18,85,76,9,3,3,0,2,1,1,6,3,3,37,20,17
BHANGAHA,116,64,52,1519,842,677,572,323,249,243,138,105,435,278,157,197,113,84,50,41,9,10,9,1,2,1,1,33,30,3,11,6,5
BHARDAHA,119,77,42,1543,852,691,795,507,288,392,264,128,188,130,58,162,118,44,65,57,8,8,7,1,8,1,7,2,1,1,6,4,2
BHUTAHI,48,33,15,986,515,471,264,167,97,314,216,98,41,25,16,85,62,23,22,22,0,7,7,0,4,3,1,2,0,2,131,100,31
BIRPUR BARAHI,46,27,19,1391,742,649,660,408,252,607,433,174,163,120,43,192,158,34,57,53,4,5,4,1,1,1,0,26,22,4,14,8,6
BISHAHARIYA,11,5,6,1402,754,648,752,457,295,651,486,165,322,210,112,204,161,43,43,36,7,10,9,1,2,2,0,16,10,6,32,15,17
BODEBARSAIEN,73,36,37,1049,578,471,507,295,212,426,286,140,413,295,118,240,179,61,73,67,6,10,10,0,3,3,0,258,158,100,8,3,5
BORIYA,44,17,27,1054,590,464,584,384,200,402,306,96,371,254,117,165,123,42,53,39,14,11,8,3,2,2,0,9,4,5,8,5,3
BRAHMAPUR,118,71,47,797,418,379,461,281,180,313,199,114,216,152,64,142,96,46,38,36,2,4,4,0,2,1,1,2,2,0,3,1,2
CHHINNAMASTA,111,62,49,1974,1132,842,941,605,336,618,449,169,466,339,127,238,192,46,94,82,12,10,10,0,7,5,2,80,48,32,33,22,11
DADHA,38,27,11,1543,776,767,614,404,210,382,280,102,213,153,60,94,74,20,47,42,5,6,6,0,11,10,1,24,16,8,24,8,16
DAULATPUR,38,31,7,1201,618,583,421,229,192,253,139,114,252,149,103,120,86,34,24,16,8,4,4,0,7,3,4,4,0,4,49,19,30
DEURI,12,9,3,1091,631,460,531,347,184,331,250,81,55,37,18,75,54,21,37,28,9,11,11,0,1,0,1,7,7,0,4,1,3
