VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARNAHA,35,864,3,9,1,3,21,11
AURAHI,2,1041,2,2,0,1,100,5
BADGAMA,0,894,1,1,0,0,0,4
BAIRAWA,4,743,0,4,1,0,8,2
BAKDHAUWA,11,1443,3,95,0,1,4,83
BAMANGAMAKATTI,7,1313,0,6,0,1,0,4
BANAINIYA,1,691,0,1,0,0,0,7
BANARJHULA,7,835,3,2,1,0,0,11
BANAULA,1,599,0,7,0,0,0,9
BANAULI,4,1007,0,25,0,0,0,11
BARAMJHIYA,9,816,0,11,1,0,2,66
BARSAIN (KO.),41,918,1,2,1,1,23,4
BASBALPUR,1,608,0,0,0,0,0,6
BASBITI,2,672,0,9,0,0,0,0
BATHANAHA,4,1143,8,20,0,0,3,2
BELHI,7,683,1,13,2,0,0,18
BELHICHAPENA,3,987,6,14,1,0,70,24
BHAGAWATPUR,5,950,5,2,0,0,0,6
BHANGAHA,5,1011,7,42,0,0,62,7
BHARDAHA,10,1171,5,8,0,4,38,9
BHUTAHI,0,757,4,0,1,0,13,10
BIRPUR BARAHI,6,1181,2,0,0,0,0,4
BISHAHARIYA,4,1359,2,8,1,6,6,24
BODEBARSAIEN,12,832,4,3,1,0,84,15
BORIYA,1,776,1,6,4,1,115,2
BRAHMAPUR,1,870,1,0,0,0,0,14
CHHINNAMASTA,8,1894,1,0,1,1,0,11
DADHA,8,1009,3,22,0,0,0,7
DAULATPUR,17,965,1,6,1,1,0,8
DEURI,0,934,0,0,0,0,0,2
DEURIMARUWA,13,500,5,13,2,0,0,9
DHANAGADI,4,920,0,19,1,0,0,10
DHARAMPUR,2,1113,1,3,0,0,5,8
DHODHANPUR,4,1047,0,8,0,0,6,12
DIDHAWA,1,760,0,1,0,0,0,9
DIMAN,0,766,0,9,1,0,0,34
FAKIRA,1,860,4,1,0,0,0,8
FARSETH,1,603,4,26,0,0,0,4
FATEPUR,109,2344,3,45,0,0,1,22
FULKAHI,8,815,4,9,2,0,11,30
GAMHARIYA PARWAHA,5,1036,3,16,1,0,0,9
GOBAR GADA,1,288,0,0,0,0,0,0
GOITHI,4,707,0,9,0,0,0,4
HANUMANNAGAR,4,907,0,0,0,2,3,41
HARDIYA,13,1024,21,39,1,30,1,10
HARIHARPUR,19,879,2,6,0,0,0,28
HARIPUR,1,966,3,6,0,0,1,2
INARWA,8,625,1,10,0,0,0,3
INARWA FULBARIYA,6,988,3,14,1,0,4,11
ITAHARI BISHNUPUR,13,1240,2,3,0,0,0,11
JAGATPUR,8,838,1,1,0,0,31,1
JAMUNIMADHEPURA,4,1276,7,44,0,0,2,9
JANDAUL,4,836,2,21,1,0,0,6
JHUTAKI,1,633,0,2,0,0,0,33
JOGINIYA-1,4,722,3,3,1,0,0,5
JOGINIYA-2,8,822,1,4,0,0,0,18
KABILASH,8,713,0,3,1,0,0,17
KACHAN,6,738,5,3,2,0,35,4
KALYANPUR,24,1453,42,65,0,14,86,21
KAMALPUR,0,1011,0,4,0,0,0,23
KANCHANPUR,22,1392,3,2,1,0,13,19
KATAIYA,1,949,1,5,1,0,4,4
KHADGAPUR,42,806,0,34,0,0,8,10
KHOJPUR,1,973,1,1,0,0,0,2
KHOKSARPARBAHA,4,881,1,3,2,0,0,6
KO. MADHEPURA,2,865,1,8,2,0,7,1
KOCHABAKHARI,47,1126,3,4,0,0,16,138
KOILADI,4,869,0,1,0,0,0,0
KUSHAHA,10,1182,15,25,0,0,11,10
LALAPATI,2,934,1,4,2,0,0,53
LAUNIYA,5,694,4,3,0,0,0,1
LOHAJARA,7,1035,1,6,3,0,0,19
MADHAWAPUR,5,1227,1,2,1,0,0,16
MADHUPATI,2,828,3,4,1,0,46,8
MAHADEVA,2,1033,2,8,1,0,1,19
MAINAKADERI,0,532,0,13,0,4,0,5
