VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARNAHA,941,4,2,0
AURAHI,1141,5,0,7
BADGAMA,855,41,2,2
BAIRAWA,745,0,0,17
BAKDHAUWA,1604,29,0,7
BAMANGAMAKATTI,1222,2,2,105
BANAINIYA,690,7,0,3
BANARJHULA,856,1,2,0
BANAULA,613,0,1,2
BANAULI,1046,1,0,0
BARAMJHIYA,900,2,2,1
BARSAIN (KO.),989,0,1,1
BASBALPUR,614,0,0,1
BASBITI,678,0,2,3
BATHANAHA,1178,1,0,1
BELHI,722,0,1,1
BELHICHAPENA,1102,0,0,3
BHAGAWATPUR,964,1,1,2
BHANGAHA,1120,3,0,11
BHARDAHA,1192,44,1,8
BHUTAHI,782,0,1,2
BIRPUR BARAHI,1189,1,1,2
BISHAHARIYA,1308,1,61,40
BODEBARSAIEN,915,24,0,12
BORIYA,851,3,1,51
BRAHMAPUR,886,0,0,0
CHHINNAMASTA,1905,4,3,4
DADHA,1043,2,0,4
DAULATPUR,994,3,1,1
DEURI,923,0,3,10
DEURIMARUWA,541,1,0,0
DHANAGADI,893,0,0,61
DHARAMPUR,1068,9,2,53
DHODHANPUR,1072,2,1,2
DIDHAWA,758,0,1,12
DIMAN,804,1,2,3
FAKIRA,870,3,0,1
FARSETH,602,0,0,36
FATEPUR,2212,193,6,113
FULKAHI,763,2,48,66
GAMHARIYA PARWAHA,1066,2,0,2
GOBAR GADA,289,0,0,0
GOITHI,722,1,0,1
HANUMANNAGAR,947,9,0,1
HARDIYA,1124,14,0,1
HARIHARPUR,927,5,1,1
HARIPUR,978,0,0,1
INARWA,587,1,2,57
INARWA FULBARIYA,1017,6,0,4
ITAHARI BISHNUPUR,1241,8,14,6
JAGATPUR,855,24,0,1
JAMUNIMADHEPURA,1337,1,0,4
JANDAUL,860,9,0,1
JHUTAKI,559,2,1,107
JOGINIYA-1,738,0,0,0
JOGINIYA-2,853,0,0,0
KABILASH,739,0,0,3
KACHAN,782,1,0,10
KALYANPUR,1558,119,18,10
KAMALPUR,1024,11,0,3
KANCHANPUR,1224,153,3,72
KATAIYA,961,3,0,1
KHADGAPUR,894,0,0,6
KHOJPUR,961,14,1,2
KHOKSARPARBAHA,873,20,2,2
KO. MADHEPURA,879,0,0,7
KOCHABAKHARI,1328,2,1,3
KOILADI,874,0,0,0
KUSHAHA,1219,24,9,1
LALAPATI,989,0,0,7
LAUNIYA,706,1,0,0
LOHAJARA,1064,3,1,3
MADHAWAPUR,1243,3,1,5
MADHUPATI,787,2,8,95
MAHADEVA,1065,0,1,0
MAINAKADERI,522,2,0,30
MAINASAHASRABAHU,776,1,1,1
MALEKPUR,1255,3,0,0
MALETH,1070,20,1,51
MALHANAMA,746,1,1,34
MALHANIYA,1518,4,0,36
MANRAJA,899,0,1,2
MAUWAHA,881,0,0,3
MOHANPUR,944,59,1,134
NARDHO,1291,7,3,10
NEGADA,868,1,0,20
ODRAHA,969,6,1,1
PAKARI,1119,4,9,0
PANSERA,947,6,0,0
PATERWA,755,1,0,2
PATO,1035,29,4,10
PATTHARGADA,960,8,0,7
PIPRA PURBA,819,0,0,0
PIPRA PASCHIM,864,4,0,4
PORTAHA,930,44,10,2
PRASABANI,1221,2,0,3
RAJBIRAJ MUNICIPALITY,6071,1516,110,46
RAMNAGAR,463,5,2,0
RAMPURAMALHANIYA,1184,1,0,0
RAMPURJAMUWA,754,0,1,0
RAUTAHAT,660,0,0,0
RAYAPUR,1832,48,0,16
RUPNAGAR,1031,21,1,10
SAMBHUNATH,1219,9,4,46
SANKARPURA,781,1,0,3
SARASWOR,942,1,0,1
SIMRAHA SIGIYOUN,1078,1,1,2
SISWA BEIHI,1139,1,0,1
SITAPUR,837,4,1,1
TARAHI,821,1,0,22
TERAHAUTA,1043,5,0,7
THELIYA,1186,10,1,5
TIKULIYA,655,0,0,1
TILATHI,626,0,0,19
TRIKAULA,919,0,0,0
TOTAL,116451,2654,364,1595
