VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARNAHA,1145,1137,799,661,305,456,41,20
AURAHI,1105,1265,714,667,333,543,58,55
BADGAMA,1002,1059,562,458,421,590,19,11
BAIRAWA,1065,1051,569,484,494,562,2,5
BAKDHAUWA,1662,1875,1020,965,545,809,97,101
BAMANGAMAKATTI,1836,1858,1143,957,653,819,40,82
BANAINIYA,808,914,420,364,380,540,8,10
BANARJHULA,819,1023,630,647,183,365,6,11
BANAULA,627,758,485,446,84,160,58,152
BANAULI,1148,1248,775,641,355,582,18,25
BARAMJHIYA,913,1073,516,509,353,513,44,51
BARSAIN (KO.),1071,1169,686,607,362,519,23,43
BASBALPUR,575,710,414,451,154,257,7,2
BASBITI,744,947,524,442,191,385,29,120
BATHANAHA,1063,1057,709,542,349,507,5,8
BELHI,876,973,483,444,352,478,41,51
BELHICHAPENA,1289,1334,822,644,435,663,32,27
BHAGAWATPUR,1048,1097,658,571,351,478,39,48
BHANGAHA,1185,1404,852,791,285,502,48,111
BHARDAHA,1513,1618,997,804,492,760,24,54
BHUTAHI,844,929,632,547,180,358,32,24
BIRPUR BARAHI,1314,1520,901,824,384,621,29,75
BISHAHARIYA,1499,1568,868,753,569,744,62,71
BODEBARSAIEN,1150,1155,874,716,271,428,5,11
BORIYA,1011,1015,715,591,290,420,6,4
BRAHMAPUR,911,1055,601,548,279,444,31,63
CHHINNAMASTA,2244,2336,1315,1073,650,868,279,395
DADHA,1313,1534,840,792,453,723,20,19
DAULATPUR,929,1076,656,643,267,427,6,6
DEURI,1101,1162,631,573,459,561,11,28
DEURIMARUWA,696,760,499,425,195,333,2,2
DHANAGADI,1038,1169,708,707,319,455,11,7
DHARAMPUR,1010,1162,645,649,361,511,4,2
DHODHANPUR,1221,1281,745,669,383,507,93,105
DIDHAWA,933,965,572,437,358,525,3,3
DIMAN,892,894,531,404,204,248,157,242
FAKIRA,1232,1383,719,604,290,410,223,369
FARSETH,672,715,454,423,127,219,91,73
FATEPUR,2047,2303,1589,1598,424,654,34,51
FULKAHI,1080,1094,716,629,249,350,115,115
GAMHARIYA PARWAHA,1350,1365,879,719,419,581,52,65
GOBAR GADA,494,411,124,61,368,349,2,1
GOITHI,709,835,355,340,329,454,25,41
HANUMANNAGAR,1218,1289,731,619,483,658,4,12
HARDIYA,1014,1162,697,723,283,406,34,33
HARIHARPUR,912,998,586,543,323,452,3,3
HARIPUR,1049,1102,815,720,228,380,6,2
INARWA,834,888,507,436,235,311,92,141
INARWA FULBARIYA,1052,1273,761,761,283,496,8,16
ITAHARI BISHNUPUR,1321,1392,823,660,417,626,81,106
JAGATPUR,868,1007,587,555,279,447,2,5
JAMUNIMADHEPURA,1592,1817,1079,930,503,869,10,18
JANDAUL,725,886,504,532,215,343,6,11
JHUTAKI,879,855,467,368,342,424,70,63
JOGINIYA-1,886,958,531,513,272,384,83,61
JOGINIYA-2,950,1123,605,629,320,467,25,27
KABILASH,802,943,549,512,235,407,18,24
KACHAN,883,1023,535,452,267,493,81,78
KALYANPUR,1800,1850,1228,976,549,856,23,18
KAMALPUR,1065,1130,622,543,415,546,28,41
KANCHANPUR,1487,1436,1041,872,418,546,28,18
KATAIYA,977,1121,546,459,407,634,24,28
KHADGAPUR,925,927,499,419,409,490,17,18
KHOJPUR,1094,1110,832,703,246,369,16,38
KHOKSARPARBAHA,948,996,640,565,291,409,17,22
KO. MADHEPURA,899,957,687,580,212,377,0,0
KOCHABAKHARI,1291,1290,767,571,517,705,7,14
KOILADI,1003,989,476,305,524,680,3,4
KUSHAHA,1310,1560,880,886,398,647,32,27
LALAPATI,1153,1224,790,660,348,516,15,48
LAUNIYA,713,713,481,406,209,294,23,13
LOHAJARA,1066,1271,648,632,375,602,43,37
MADHAWAPUR,1119,1306,678,671,435,626,6,9
MADHUPATI,949,1078,679,654,251,391,19,33
MAHADEVA,1258,1238,822,633,332,439,104,166
MAINAKADERI,652,700,323,249,296,424,33,27
MAINASAHASRABAHU,807,939,518,441,276,491,13,7
MALEKPUR,1274,1534,856,829,416,698,2,7
MALETH,1401,1570,897,713,435,817,69,40
MALHANAMA,893,974,554,565,281,321,58,88
MALHANIYA,1531,1637,1131,1012,334,498,66,127
MANRAJA,920,947,555,490,365,454,0,3
MAUWAHA,1066,1014,701,571,362,440,3,3
MOHANPUR,1087,1196,806,767,250,390,31,39
NARDHO,1516,1608,878,800,626,801,12,7
NEGADA,801,1013,533,560,183,326,85,127
ODRAHA,830,953,572,524,256,422,2,7
PAKARI,1410,1555,761,627,631,907,18,21
PANSERA,980,1186,732,748,238,426,10,12
PATERWA,722,923,528,494,163,333,31,96
PATO,1155,1183,718,615,398,521,39,47
PATTHARGADA,1065,1160,777,646,279,507,9,7
PIPRA PURBA,980,995,435,340,429,514,116,141
PIPRA PASCHIM,771,909,565,564,192,320,14,25
PORTAHA,998,1102,691,671,260,368,47,63
PRASABANI,1184,1428,738,722,436,697,10,9
RAJBIRAJ MUNICIPALITY,7099,6532,5723,4552,1113,1723,263,257
RAMNAGAR,515,622,334,314,158,261,23,47
RAMPURAMALHANIYA,1487,1533,843,576,626,937,18,20
RAMPURJAMUWA,780,978,517,509,262,468,1,1
RAUTAHAT,787,806,529,476,241,315,17,15
RAYAPUR,2037,2146,1395,1202,599,878,43,66
RUPNAGAR,930,1033,588,529,320,481,22,23
SAMBHUNATH,1264,1419,806,806,420,570,38,43
SANKARPURA,925,953,511,374,410,578,4,1
SARASWOR,1178,1145,812,625,269,423,97,97
SIMRAHA SIGIYOUN,1157,1202,656,512,478,668,23,22
SISWA BEIHI,1342,1480,915,790,417,674,10,16
SITAPUR,736,888,518,508,213,376,5,4
TARAHI,935,1004,568,530,346,463,21,11
TERAHAUTA,1072,1149,699,602,337,480,36,67
THELIYA,1258,1388,831,786,391,581,36,21
TIKULIYA,597,671,398,373,194,287,5,11
TILATHI,551,654,340,338,208,310,3,6
TRIKAULA,1008,1070,697,593,306,463,5,14
INSTITUTIONAL,501,54,347,53,149,1,5,0
