VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARNAHA,774,92,67,14
AURAHI,1085,36,27,5
BADGAMA,700,58,138,4
BAIRAWA,583,96,81,2
BAKDHAUWA,1106,275,200,59
BAMANGAMAKATTI,1139,88,99,5
BANAINIYA,562,66,64,8
BANARJHULA,750,80,18,11
BANAULA,527,56,24,9
BANAULI,959,29,48,11
BARAMJHIYA,672,82,86,65
BARSAIN (KO.),872,103,12,4
BASBALPUR,532,60,16,7
BASBITI,606,39,38,0
BATHANAHA,1057,88,33,2
BELHI,652,40,12,20
BELHICHAPENA,999,45,36,25
BHAGAWATPUR,850,42,70,6
BHANGAHA,1017,34,75,8
BHARDAHA,964,118,154,9
BHUTAHI,742,9,22,12
BIRPUR BARAHI,1103,36,49,5
BISHAHARIYA,1286,49,52,23
BODEBARSAIEN,728,145,61,17
BORIYA,690,109,105,2
BRAHMAPUR,825,42,5,14
CHHINNAMASTA,1761,82,61,12
DADHA,872,167,3,7
DAULATPUR,801,107,83,8
DEURI,909,7,18,2
DEURIMARUWA,452,42,39,9
DHANAGADI,893,25,24,12
DHARAMPUR,611,332,181,8
DHODHANPUR,744,121,200,12
DIDHAWA,734,19,9,9
DIMAN,705,59,11,35
FAKIRA,829,11,25,9
FARSETH,592,42,0,4
FATEPUR,1096,818,588,22
FULKAHI,603,234,12,30
GAMHARIYA PARWAHA,996,36,30,8
GOBAR GADA,280,8,1,0
GOITHI,662,46,12,4
HANUMANNAGAR,644,159,112,42
HARDIYA,981,90,58,10
HARIHARPUR,701,138,64,31
HARIPUR,904,43,30,2
INARWA,587,50,7,3
INARWA FULBARIYA,885,120,10,12
ITAHARI BISHNUPUR,998,229,31,11
JAGATPUR,681,108,89,2
JAMUNIMADHEPURA,1205,77,51,9
JANDAUL,720,82,62,6
JHUTAKI,592,36,8,33
JOGINIYA-1,597,71,65,5
JOGINIYA-2,738,59,38,18
KABILASH,626,42,56,18
KACHAN,747,36,5,5
KALYANPUR,1239,344,101,21
KAMALPUR,840,43,132,23
KANCHANPUR,423,507,503,19
KATAIYA,900,24,37,4
KHADGAPUR,850,11,29,10
KHOJPUR,649,272,55,2
KHOKSARPARBAHA,725,101,65,6
KO. MADHEPURA,756,100,29,1
KOCHABAKHARI,1046,80,69,139
KOILADI,635,184,55,0
KUSHAHA,1075,88,79,11
LALAPATI,835,90,18,53
LAUNIYA,681,13,12,1
LOHAJARA,909,55,87,20
MADHAWAPUR,1038,90,108,16
MADHUPATI,822,28,33,9
MAHADEVA,962,57,28,19
MAINAKADERI,460,61,28,5
MAINASAHASRABAHU,661,50,61,7
MALEKPUR,1188,52,17,1
MALETH,834,189,80,39
MALHANAMA,751,8,5,18
MALHANIYA,1493,52,10,3
MANRAJA,862,21,17,2
MAUWAHA,766,56,45,17
MOHANPUR,866,195,69,8
NARDHO,1217,64,25,5
NEGADA,838,33,14,4
ODRAHA,839,60,71,7
PAKARI,994,75,5,58
PANSERA,880,50,7,16
PATERWA,717,11,20,10
PATO,946,114,17,1
PATTHARGADA,863,52,51,9
PIPRA PURBA,731,36,45,7
PIPRA PASCHIM,710,135,19,8
PORTAHA,748,151,77,10
PRASABANI,1074,62,84,6
RAJBIRAJ MUNICIPALITY,1287,5091,1240,125
RAMNAGAR,452,9,2,7
RAMPURAMALHANIYA,1130,34,19,2
RAMPURJAMUWA,718,23,12,2
RAUTAHAT,624,6,26,4
RAYAPUR,1474,236,181,5
RUPNAGAR,563,333,162,5
SAMBHUNATH,1129,103,30,16
SANKARPURA,661,46,71,7
SARASWOR,791,103,22,28
SIMRAHA SIGIYOUN,1010,35,24,13
SISWA BEIHI,1039,45,44,13
SITAPUR,742,67,32,2
TARAHI,740,10,41,53
TERAHAUTA,896,92,49,18
THELIYA,1088,42,69,3
TIKULIYA,611,26,8,11
TILATHI,436,141,63,5
TRIKAULA,810,59,42,8
TOTAL,95950,15528,7919,1667
