VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ATICHAUR,743,1,0,0,0,0,7
BADDHU,945,1,13,0,0,5,16
BAI,613,0,1,0,0,0,14
BARHABIS,1563,0,41,2,0,28,16
BICHHAIYA,494,0,0,0,0,7,6
BRAMHATOLA,1170,3,33,1,98,0,17
BUDHIGANGA,751,9,2,1,0,44,1
CHHATARA,686,2,1,0,0,1,10
DAHAKOT,797,4,1,0,0,0,4
DOGADI,581,1,2,0,0,0,4
GOTREE,1012,1,0,0,0,1,5
GUDUKHATI,813,8,20,1,0,0,10
JAGANNATH,690,0,1,0,0,8,3
JAYABAGESWORI,423,4,0,0,0,0,10
JUGADA,958,3,9,0,0,0,12
JUKOT,595,0,1,0,0,0,1
KAILASHMANDAU,1774,25,8,0,1,0,10
KANDA,528,3,4,0,1,0,10
KOLTI,1192,110,15,1,0,2,10
KOTILA,600,2,6,0,0,0,6
KULDEUMADAU,1218,2,64,2,0,1,18
MANAKOT,488,1,0,0,0,0,1
MARTADI,1689,95,30,4,2,79,21
PANDUSAIN,1169,5,4,0,0,2,4
RUGIN,511,0,1,0,0,0,10
SAPPATA,982,2,0,0,0,8,6
TOLIDEWAL,828,0,3,0,0,0,1
TOTAL,23813,282,260,12,102,186,233
