VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANKHIBHUI,1472,54,3,22
BAHRABISE,574,27,0,21
BALA,552,10,3,2
BANA,1119,30,4,30
BANESWOR,823,9,6,26
CHAINPUR,1012,249,8,43
CHEPUWA,395,8,0,1
DHUPU,876,36,1,33
DIDING,619,13,0,10
HATIYA,635,18,1,7
JALJALA,1075,58,1,41
KEEMATHNKA,68,2,2,0
KHANDBARI MUNICIPALITY,4639,1309,89,253
KHARANG,1166,55,6,12
MADI MULKHARKA,1222,26,10,41
MADI RAMBENI,1128,33,6,29
MAKALU,811,18,11,9
MAMLING,786,29,3,9
MANGTEWA,408,0,1,2
MATSYA POKHARI,828,29,3,16
MAWADIN,696,11,0,14
NUM,696,51,4,21
NUNDHAKI,507,31,0,15
PATHIBHARA,677,35,2,4
PAWAKHOLA,554,6,2,4
SABHA POKHARI,548,56,2,18
SIDDHAKALI,1004,92,2,63
SIDDHAPOKHARI,727,68,3,11
SISUWAKHOLA,598,5,0,1
SITALPATI,1061,37,4,54
SYABUN,1210,36,0,30
TAMAFOK,1403,145,10,22
TAMKU,558,5,2,5
YAFU,512,5,0,2
TOTAL,30959,2596,189,871
