VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ANKHIBHUI,6606,2971,3635,4545,2333,2212,136,66,70,1923,572,1351,2,0,2,68.80108991825612,78.52574890609223,60.852819807427785
BAHRABISE,2856,1390,1466,1694,894,800,147,76,71,1015,420,595,0,0,0,59.31372549019608,64.31654676258994,54.570259208731244
BALA,2557,1204,1353,1812,912,900,143,70,73,600,222,378,2,0,2,70.86429409464216,75.74750830564784,66.51884700665188
BANA,4853,2280,2573,3361,1767,1594,116,53,63,1376,460,916,0,0,0,69.2561302287245,77.5,61.951029926156245
BANESWOR,3637,1644,1993,2618,1343,1275,79,34,45,940,267,673,0,0,0,71.9824030794611,81.69099756690997,63.97390868038133
CHAINPUR,5286,2490,2796,3871,2034,1837,100,49,51,1313,406,907,2,1,1,73.23117669315172,81.6867469879518,65.70100143061516
CHEPUWA,1615,793,822,803,454,349,29,13,16,780,324,456,3,2,1,49.72136222910217,57.250945775535946,42.45742092457421
DHUPU,3882,1816,2066,2840,1450,1390,66,27,39,969,337,632,7,2,5,73.15816589386914,79.84581497797357,67.27976766698936
DIDING,2759,1361,1398,1967,1039,928,124,64,60,667,257,410,1,1,0,71.29394708227619,76.34092578986039,66.38054363376253
HATIYA,2753,1316,1437,1308,770,538,77,30,47,1367,516,851,1,0,1,47.511805303305486,58.51063829787234,37.439109255393184
JALJALA,5199,2372,2827,3544,1820,1724,198,105,93,1456,447,1009,1,0,1,68.16695518368917,76.72849915682967,60.98337460205164
KEEMATHNKA,311,151,160,124,85,39,17,6,11,170,60,110,0,0,0,39.87138263665595,56.29139072847682,24.375
KHANDBARI MUNICIPALITY,23987,11276,12711,17822,9308,8514,583,274,309,5571,1690,3881,11,4,7,74.29857839663151,82.54700248315005,66.98135473212179
KHARANG,5136,2291,2845,3705,1820,1885,128,59,69,1302,412,890,1,0,1,72.13785046728972,79.44129201222174,66.25659050966608
MADI MULKHARKA,5293,2379,2914,3820,1917,1903,118,61,57,1354,401,953,1,0,1,72.17079161156245,80.58007566204287,65.3054221002059
MADI RAMBENI,4856,2227,2629,3543,1798,1745,62,25,37,1245,401,844,6,3,3,72.96128500823723,80.73641670408621,66.37504754659567
MAKALU,3436,1729,1707,1912,1138,774,66,43,23,1458,548,910,0,0,0,55.64610011641443,65.81839213418161,45.342706502636204
MAMLING,3496,1610,1886,2545,1319,1226,104,43,61,846,248,598,1,0,1,72.7974828375286,81.92546583850931,65.00530222693531
MANGTEWA,1840,918,922,1325,726,599,19,10,9,496,182,314,0,0,0,72.01086956521739,79.08496732026144,64.96746203904556
MATSYA POKHARI,3661,1730,1931,2575,1354,1221,93,40,53,993,336,657,0,0,0,70.33597377765638,78.26589595375722,63.23148627654065
MAWADIN,2960,1341,1619,1967,1011,956,107,60,47,885,270,615,1,0,1,66.45270270270271,75.39149888143176,59.048795552810375
NUM,3264,1648,1616,2033,1157,876,245,128,117,986,363,623,0,0,0,62.28553921568627,70.20631067961165,54.207920792079214
NUNDHAKI,2299,1048,1251,1471,748,723,103,60,43,722,238,484,3,2,1,63.98434101783385,71.37404580152672,57.793764988009585
PATHIBHARA,2930,1440,1490,1818,1039,779,148,61,87,964,340,624,0,0,0,62.04778156996586,72.15277777777777,52.281879194630875
PAWAKHOLA,2590,1278,1312,1261,740,521,167,88,79,1162,450,712,0,0,0,48.68725868725869,57.90297339593115,39.71036585365854
SABHA POKHARI,2775,1325,1450,1879,973,906,38,16,22,858,336,522,0,0,0,67.71171171171171,73.43396226415095,62.48275862068966
SIDDHAKALI,4791,2212,2579,3426,1777,1649,128,56,72,1236,379,857,1,0,1,71.5090795241077,80.33453887884268,63.93951143854208
SIDDHAPOKHARI,3509,1639,1870,2554,1335,1219,88,42,46,863,260,603,4,2,2,72.78426902251354,81.45210494203783,65.18716577540107
SISUWAKHOLA,2540,1244,1296,1677,893,784,36,14,22,827,337,490,0,0,0,66.02362204724409,71.78456591639872,60.49382716049383
SITALPATI,4432,2014,2418,3140,1583,1557,144,74,70,1141,354,787,7,3,4,70.84837545126354,78.59980139026813,64.39205955334988
SYABUN,5651,2599,3052,4075,2077,1998,121,62,59,1454,460,994,1,0,1,72.11113077331446,79.91535205848403,65.46526867627786
TAMAFOK,6409,2906,3503,4664,2346,2318,154,79,75,1492,455,1037,99,26,73,72.77266344203464,80.72952512044047,66.1718526976877
TAMKU,2622,1291,1331,1897,1041,856,76,40,36,648,210,438,1,0,1,72.34935163996948,80.63516653756778,64.31254695717506
YAFU,2170,1030,1140,1431,760,671,76,38,38,663,232,431,0,0,0,65.9447004608295,73.7864077669903,58.85964912280702
INSTITUTIONAL,517,506,11,515,506,9,2,0,2,0,0,0,0,0,0,99.61315280464217,100,81.81818181818183
