VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANKHIBHUI,1430,1704,1087,1126,327,557,16,21
BAHRABISE,782,820,529,505,210,260,43,55
BALA,583,667,468,499,110,158,5,10
BANA,1045,1158,778,812,257,333,10,13
BANESWOR,803,942,641,645,157,285,5,12
CHAINPUR,1048,1168,810,813,217,325,21,30
CHEPUWA,366,405,238,269,123,125,5,11
DHUPU,851,967,667,663,171,289,13,15
DIDING,683,693,506,485,172,200,5,8
HATIYA,652,740,453,433,193,300,6,7
JALJALA,1188,1425,943,1027,235,393,10,5
KEEMATHNKA,68,95,37,43,31,52,0,0
KHANDBARI MUNICIPALITY,5014,5462,3904,3829,1003,1492,107,141
KHARANG,1094,1290,836,878,235,379,23,33
MADI MULKHARKA,1170,1347,856,862,306,472,8,13
MADI RAMBENI,1019,1152,794,756,214,374,11,22
MAKALU,920,921,576,523,342,398,2,0
MAMLING,753,870,542,575,180,270,31,25
MANGTEWA,489,429,383,311,99,113,7,5
MATSYA POKHARI,771,940,584,675,154,223,33,42
MAWADIN,648,768,486,522,162,241,0,5
NUM,893,853,606,504,234,285,53,64
NUNDHAKI,497,581,344,385,148,187,5,9
PATHIBHARA,682,732,510,537,166,186,6,9
PAWAKHOLA,664,723,415,385,242,335,7,3
SABHA POKHARI,701,760,469,505,215,246,17,9
SIDDHAKALI,1049,1201,805,844,238,353,6,4
SIDDHAPOKHARI,808,892,589,587,211,295,8,10
SISUWAKHOLA,664,700,448,456,212,237,4,7
SITALPATI,885,1022,698,692,174,308,13,22
SYABUN,1332,1542,1027,1080,278,417,27,45
TAMAFOK,1427,1679,1115,1215,279,430,33,34
TAMKU,632,629,483,453,134,156,15,20
YAFU,547,629,386,415,159,212,2,2
INSTITUTIONAL,64,5,0,0,64,5,0,0
