VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BANJA KAKANI,562,0,0,46,108,78,0,4
BANLEK,780,1,0,9,144,103,0,0
BARCHHEN,592,0,7,66,154,128,0,3
BASUDEVI,459,0,103,13,68,11,47,5
BHUMIRAJMADAU,439,0,36,75,338,18,0,5
CHAWARA CHAUTARA,334,0,2,66,120,3,0,1
CHHAPALI,459,1,2,3,110,37,2,9
CHHATIWAN,527,1,10,11,120,35,36,2
DAHAKALIKASTHAN,439,0,0,0,1,1,0,6
DAUD,800,0,3,27,300,38,0,5
DHANGLAGAU,415,1,0,39,148,71,0,1
DHIRKAMANDAU,142,0,2,69,36,73,0,2
DIPAYAL SILGADHI MUNICIPALITY,3179,7,16,291,1245,665,72,18
DURGAMADAU,522,0,35,40,207,51,3,0
GADASERA,456,1,0,36,13,24,4,4
GAGUDA,285,0,70,85,122,18,0,4
GAIHRAGAU,498,1,0,41,149,36,0,0
GANJARI,385,1,9,32,65,4,0,8
GHANTESWOR,435,2,4,19,35,11,0,1
GIRICHAUKA,549,0,2,18,78,133,1,3
JIJODAMANDAU,155,2,1,6,228,0,0,1
KADAMADAUN,429,0,0,5,403,21,0,2
KALENA,502,1,0,25,11,0,0,3
KALIKASTHAN,696,1,9,63,293,0,0,5
KANACHAUR,262,0,0,10,99,2,0,1
KAPALLEKI,576,2,9,108,46,11,0,1
KEDAR AKHADA,263,2,5,6,10,3,0,3
KHATIWADA,488,2,82,13,607,12,0,3
KHIRSAIN,352,0,10,18,234,12,0,4
LADAGADA,475,2,5,57,196,131,1,4
LAMIKHAL,277,0,43,197,245,77,11,3
LANA KEDARESWOR,421,0,4,65,30,46,0,0
LATAMANDAU,388,1,0,83,448,183,0,1
LAXMI NAGAR,557,0,2,83,111,97,61,0
MAHADEVSTHAN,395,0,186,18,180,10,2,7
MANNAKAPADI,449,1,33,11,28,6,0,0
MUDABHARA,737,0,2,20,202,7,0,2
MUDHEGAU,445,0,0,11,3,3,0,0
NIRAULI,209,0,16,117,106,80,0,0
PACHANALI,503,0,0,0,135,7,0,2
POKHARI,615,0,17,54,23,152,2,9
RANAGAU,315,0,24,83,163,4,3,4
SANAGAU,283,1,39,16,217,0,1,1
SARASWOTINAGAR,379,0,19,52,10,120,1,1
SATPHARI,157,0,198,130,18,10,2,1
SIMCHAUR,378,0,6,20,74,35,0,1
TIJALI,438,0,1,0,0,0,0,2
TIKHATAR,625,0,3,237,184,137,0,2
TOLENI,1025,0,0,3,109,10,0,7
WAGALEK,549,0,0,0,238,41,1,14
WARPATA,668,0,26,1,33,127,0,3
TOTAL,26268,31,1041,2498,8245,2882,250,168
