VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BANJA KAKANI,796,1,0,1
BANLEK,1011,16,0,10
BARCHHEN,903,34,1,12
BASUDEVI,700,6,0,0
BHUMIRAJMADAU,903,5,0,3
CHAWARA CHAUTARA,499,3,8,16
CHHAPALI,612,4,0,7
CHHATIWAN,652,75,5,10
DAHAKALIKASTHAN,442,2,0,3
DAUD,1168,3,0,2
DHANGLAGAU,643,10,9,13
DHIRKAMANDAU,315,8,0,1
DIPAYAL SILGADHI MUNICIPALITY,4262,900,269,62
DURGAMADAU,834,7,10,7
GADASERA,493,0,4,41
GAGUDA,578,5,0,1
GAIHRAGAU,722,2,1,0
GANJARI,497,6,1,0
GHANTESWOR,488,18,0,1
GIRICHAUKA,761,4,0,19
JIJODAMANDAU,380,6,0,7
KADAMADAUN,838,13,1,8
KALENA,539,1,1,1
KALIKASTHAN,1051,7,0,9
KANACHAUR,362,9,0,3
KAPALLEKI,745,3,3,2
KEDAR AKHADA,286,1,1,4
KHATIWADA,1189,12,1,5
KHIRSAIN,608,4,4,14
LADAGADA,865,4,1,1
LAMIKHAL,823,21,1,8
LANA KEDARESWOR,541,8,6,11
LATAMANDAU,1057,32,3,12
LAXMI NAGAR,854,6,1,50
MAHADEVSTHAN,792,3,0,3
MANNAKAPADI,508,2,0,18
MUDABHARA,947,9,3,11
MUDHEGAU,456,3,1,2
NIRAULI,500,11,6,11
PACHANALI,625,5,0,17
POKHARI,868,2,2,0
RANAGAU,587,3,1,5
SANAGAU,536,13,9,0
SARASWOTINAGAR,569,7,0,6
SATPHARI,509,1,0,6
SIMCHAUR,501,3,0,10
TIJALI,425,0,3,13
TIKHATAR,1157,1,0,30
TOLENI,1128,8,0,18
WAGALEK,794,9,1,39
WARPATA,833,5,3,17
TOTAL,39152,1321,360,550
