VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAGESWORI,1037,33,0,3
BALKUMARI,491,0,0,5
BARSUNCHET,111,3,2,2
BELKOT,1516,11,0,22
BETINI,855,13,1,4
BHADRUTAR,677,4,1,23
BHALCHE,750,4,0,0
BIDUR MUNICIPALITY,4501,1384,326,59
BUDHASING,670,6,0,1
BUNGTANG,588,9,0,2
CHARGHARE,1186,3,0,1
CHATURALE,655,11,2,40
CHAUGHADA,1131,19,0,14
CHAUTHE,689,3,0,5
CHHAP,446,0,0,2
DANGSING,621,3,0,1
DEURALI,964,32,2,7
DUIPIPAL,1519,48,0,2
FIKURI,596,12,0,28
GANESHTHAN,792,4,4,7
GAUNKHARKA,627,0,0,1
GERKHU,1366,33,1,21
GHYANGPHEDI,597,4,0,3
GORSYANG,759,10,0,3
JILING,1262,7,0,2
KABILAS,830,21,3,9
KAKANI,1294,78,9,9
HALDE KALIKA,748,2,0,3
KALYANPUR,1217,14,0,12
KAULE,720,8,1,10
KHADAG BHANJYANG,1381,18,0,13
KHARANITAR,300,33,5,37
KHANIGAUN,1162,29,1,18
KIMTANG,455,2,0,2
KUMARI,1607,8,1,2
LACHYANG,875,0,0,1
LIKHU,536,12,2,7
MADANPUR,1694,35,4,5
MAHAKALI,773,0,1,14
MANAKAMANA,779,7,1,2
NARJAMANDAP,1001,5,1,5
OKHARPAUWA,1473,34,1,2
PANCHAKANYA,525,4,0,15
RALUKADEVI,901,7,0,8
RATMATE,796,24,0,2
RAUTBESI,649,2,0,3
SALME,417,5,0,0
SAMARI,1178,24,2,3
SAMUNDRADEVI,674,4,2,20
SAMUNDRATAR,399,44,2,5
SHIKHARBESI,733,3,5,5
SIKRE,347,0,0,23
SUNDARADEVI,490,16,0,5
SUNKHANI,522,8,0,3
SURYAMATI,686,0,1,5
TALAKHU,672,7,0,9
TARUKA,1102,14,2,9
THANAPATI,592,5,1,28
THANSING,1311,29,0,48
THAPREK,756,3,0,1
TUPCHE,1219,33,10,17
URLENI,761,1,0,6
TOTAL,55981,2195,394,624
