VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAGESWORI,1044,24,0,0,0,0,5
BALKUMARI,491,0,0,0,0,0,5
BARSUNCHET,117,0,0,0,0,0,1
BELKOT,1511,21,3,8,0,0,6
BETINI,861,3,0,0,0,0,9
BHADRUTAR,687,6,4,3,0,0,5
BHALCHE,733,8,2,0,0,0,11
BIDUR MUNICIPALITY,3427,2483,24,12,214,5,105
BUDHASING,656,4,0,0,0,1,16
BUNGTANG,538,16,36,1,0,0,8
CHARGHARE,1113,65,3,1,0,1,7
CHATURALE,678,4,2,1,0,0,23
CHAUGHADA,1107,49,1,0,0,0,7
CHAUTHE,670,8,3,3,0,0,13
CHHAP,430,3,0,0,0,0,15
DANGSING,618,3,2,0,0,0,2
DEURALI,950,40,4,4,1,0,6
DUIPIPAL,1501,43,5,1,0,0,19
FIKURI,597,22,2,2,0,0,13
GANESHTHAN,755,37,0,2,0,0,13
GAUNKHARKA,624,1,0,0,0,0,3
GERKHU,1347,66,1,0,0,0,7
GHYANGPHEDI,579,0,1,1,0,0,23
GORSYANG,758,8,1,0,0,0,5
JILING,1241,14,3,0,0,0,13
KABILAS,810,23,5,5,0,0,20
KAKANI,1251,95,20,4,1,0,19
HALDE KALIKA,735,6,3,1,0,0,8
KALYANPUR,1184,45,1,0,0,0,13
KAULE,719,14,1,0,0,1,4
KHADAG BHANJYANG,1310,85,1,1,0,0,15
KHARANITAR,359,10,2,1,0,0,3
KHANIGAUN,1031,171,1,0,0,1,6
KIMTANG,444,2,0,0,0,0,13
KUMARI,1565,17,4,0,0,0,32
LACHYANG,865,2,1,1,0,0,7
LIKHU,547,3,1,1,0,0,5
MADANPUR,1673,36,8,1,0,1,19
MAHAKALI,777,5,1,5,0,0,0
MANAKAMANA,761,18,1,0,0,0,9
NARJAMANDAP,968,27,0,1,0,2,14
OKHARPAUWA,1341,103,7,2,19,2,36
PANCHAKANYA,531,3,5,1,0,0,4
RALUKADEVI,880,33,2,0,0,1,0
RATMATE,711,94,14,0,0,0,3
RAUTBESI,647,2,0,0,0,1,4
SALME,419,1,0,0,0,0,2
SAMARI,1149,44,0,0,0,0,14
SAMUNDRADEVI,687,9,3,0,0,0,1
SAMUNDRATAR,424,22,0,0,0,0,4
SHIKHARBESI,738,6,0,0,0,0,2
SIKRE,368,0,0,0,0,0,2
SUNDARADEVI,492,10,2,3,0,2,2
SUNKHANI,517,5,2,7,0,0,2
SURYAMATI,678,4,1,0,0,0,9
TALAKHU,671,14,0,0,0,1,2
TARUKA,1103,15,0,0,0,1,8
THANAPATI,608,11,1,3,3,0,0
THANSING,1329,41,2,0,0,1,15
THAPREK,744,4,6,0,0,0,6
TUPCHE,1157,109,2,0,0,0,11
URLENI,749,2,0,6,0,3,8
TOTAL,53975,4019,194,82,238,24,662
