VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAGESWORI,965,1047,719,749,186,232,60,66
BALKUMARI,546,593,307,296,218,261,21,36
BARSUNCHET,81,92,58,62,23,30,0,0
BELKOT,1512,1724,1124,1216,358,436,30,72
BETINI,1025,1043,564,453,420,537,41,53
BHADRUTAR,608,669,422,454,184,212,2,3
BHALCHE,709,870,483,519,210,307,16,44
BIDUR MUNICIPALITY,4610,5022,3584,3545,834,1245,192,232
BUDHASING,534,684,366,443,102,160,66,81
BUNGTANG,318,428,236,286,79,140,3,2
CHARGHARE,959,1152,729,750,208,369,22,33
CHATURALE,636,686,452,438,166,201,18,47
CHAUGHADA,1012,1252,732,784,267,447,13,21
CHAUTHE,773,790,525,517,213,236,35,37
CHHAP,474,533,264,291,165,180,45,62
DANGSING,520,657,399,465,116,188,5,4
DEURALI,638,768,491,496,125,239,22,33
DUIPIPAL,1595,1933,1149,1327,382,526,64,80
FIKURI,586,605,456,435,119,153,11,17
GANESHTHAN,743,800,514,520,225,276,4,4
GAUNKHARKA,728,750,380,304,269,271,79,175
GERKHU,1152,1377,977,1078,152,259,23,40
GHYANGPHEDI,750,593,249,173,492,412,9,8
GORSYANG,660,844,505,592,151,246,4,6
JILING,1181,1338,900,939,171,242,110,157
KABILAS,820,823,616,557,176,239,28,27
KAKANI,1640,1675,1035,1062,422,439,183,174
HALDE KALIKA,759,839,549,556,151,194,59,89
KALYANPUR,1101,1261,811,789,191,349,99,123
KAULE,544,694,395,475,145,215,4,4
KHADAG BHANJYANG,1059,1339,821,952,214,349,24,38
KHARANITAR,293,291,198,205,75,78,20,8
KHANIGAUN,927,1132,788,858,130,262,9,12
KIMTANG,386,426,269,252,110,159,7,15
KUMARI,1830,1988,1336,1369,470,598,24,21
LACHYANG,1045,1050,624,509,403,518,18,23
LIKHU,486,597,375,399,102,184,9,14
MADANPUR,1809,1822,1307,1218,437,548,65,56
MAHAKALI,654,828,479,550,154,246,21,32
MANAKAMANA,611,691,460,493,132,181,19,17
NARJAMANDAP,1124,1169,743,710,322,385,59,74
OKHARPAUWA,1672,1741,1027,1009,428,446,217,286
PANCHAKANYA,564,568,431,404,132,162,1,2
RALUKADEVI,1002,966,649,615,351,350,2,1
RATMATE,710,837,427,451,266,363,17,23
RAUTBESI,751,786,445,437,279,298,27,51
SALME,453,538,331,346,116,188,6,4
SAMARI,1011,1304,764,859,235,407,12,38
SAMUNDRADEVI,581,647,411,404,137,192,33,51
SAMUNDRATAR,369,477,273,349,96,126,0,2
SHIKHARBESI,783,736,426,401,337,312,20,23
SIKRE,259,369,171,232,88,136,0,1
SUNDARADEVI,451,479,295,306,150,168,6,5
SUNKHANI,496,512,375,368,119,137,2,7
SURYAMATI,731,903,482,516,245,380,4,7
TALAKHU,574,629,391,393,178,228,5,8
TARUKA,938,1255,735,884,187,345,16,26
THANAPATI,546,553,385,372,157,174,4,7
THANSING,1068,1200,854,865,190,269,24,66
THAPREK,812,932,584,638,142,204,86,90
TUPCHE,924,1008,798,791,101,179,25,38
URLENI,894,919,391,340,428,471,75,108
INSTITUTIONAL,339,116,180,55,157,60,2,1
