VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BAGESWORI,1057,8,3,0,0,5
BALKUMARI,491,0,0,0,0,5
BARSUNCHET,118,0,0,0,0,0
BELKOT,1517,15,1,10,0,6
BETINI,864,0,0,0,0,9
BHADRUTAR,694,1,0,5,0,5
BHALCHE,738,3,3,0,0,10
BIDUR MUNICIPALITY,3932,1405,807,15,8,103
BUDHASING,658,3,0,0,0,16
BUNGTANG,582,9,0,1,0,7
CHARGHARE,1158,16,8,2,0,6
CHATURALE,683,0,1,3,0,21
CHAUGHADA,1132,23,2,0,0,7
CHAUTHE,674,3,5,3,2,10
CHHAP,432,1,0,0,0,15
DANGSING,621,1,1,0,0,2
DEURALI,968,24,5,3,0,5
DUIPIPAL,1512,15,19,5,0,18
FIKURI,607,6,6,3,1,13
GANESHTHAN,760,31,2,1,0,13
GAUNKHARKA,625,0,0,0,0,3
GERKHU,1354,57,4,0,0,6
GHYANGPHEDI,579,0,0,2,0,23
GORSYANG,763,1,3,0,0,5
JILING,1243,13,0,0,2,13
KABILAS,824,14,2,2,1,20
KAKANI,1279,26,50,17,0,18
HALDE KALIKA,737,4,3,1,0,8
KALYANPUR,1205,14,11,2,0,11
KAULE,722,3,8,2,0,4
KHADAG BHANJYANG,1321,21,53,5,0,12
KHARANITAR,363,6,0,4,0,2
KHANIGAUN,1116,67,21,1,0,5
KIMTANG,446,0,1,0,0,12
KUMARI,1576,11,0,1,0,30
LACHYANG,870,1,0,0,0,5
LIKHU,548,3,0,1,0,5
MADANPUR,1682,7,22,10,0,17
MAHAKALI,780,2,0,6,0,0
MANAKAMANA,771,9,1,0,0,8
NARJAMANDAP,970,24,1,1,2,14
OKHARPAUWA,1394,34,39,7,0,36
PANCHAKANYA,538,1,0,2,0,3
RALUKADEVI,913,1,0,1,1,0
RATMATE,744,48,26,1,0,3
RAUTBESI,649,0,0,1,0,4
SALME,419,0,1,0,0,2
SAMARI,1152,41,0,0,0,14
SAMUNDRADEVI,692,4,0,3,0,1
SAMUNDRATAR,444,2,0,0,0,4
SHIKHARBESI,739,6,0,0,0,1
SIKRE,368,0,0,0,0,2
SUNDARADEVI,496,5,2,4,2,2
SUNKHANI,519,3,1,8,0,2
SURYAMATI,680,2,0,1,0,9
TALAKHU,675,9,1,0,1,2
TARUKA,1110,3,5,1,1,7
THANAPATI,621,4,0,1,0,0
THANSING,1338,21,13,5,1,10
THAPREK,754,0,0,2,0,4
TUPCHE,1220,25,23,0,0,11
URLENI,752,0,1,6,4,5
TOTAL,55189,2056,1155,149,26,619
