VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AAMTEP,458,595,365,437,92,157,1,1
ANNAPURNA,305,320,241,245,64,75,0,0
BAIKUNTHE,535,674,397,485,135,188,3,1
BASIKHORA,859,982,694,739,148,222,17,21
WASHINGTHARPU,349,382,275,268,71,114,3,0
BASTEEM,487,583,343,363,136,214,8,6
BHAISIPANKHA,523,542,378,363,144,178,1,1
BHOJPUR,1207,1317,974,929,214,372,19,16
YOON,386,387,319,294,63,91,4,2
BHULKE,484,556,367,389,117,167,0,0
BOKHIM,496,536,393,376,94,149,9,11
BOYA,772,817,652,575,118,241,2,1
CHAMPE,580,682,471,502,107,179,2,1
CHANGRE,576,710,447,496,125,204,4,10
CHARAMBI,525,596,407,406,114,180,4,10
CHAUKIDADA,375,458,288,323,87,135,0,0
CHHINAMAKHU,502,539,381,358,120,181,1,0
DALGAUN,525,562,399,389,123,172,3,1
DEURALI,1074,1240,881,893,162,317,31,30
DEWANTAR,687,688,517,454,169,234,1,0
DHODLEKHANI,348,380,260,249,88,130,0,1
DOBHANE,1127,1278,814,859,309,410,4,9
DUMMANA,922,1116,667,732,254,383,1,1
GOGANE,404,517,327,364,76,148,1,5
GUPTESHWOR,354,426,283,299,70,125,1,2
HASANPUR,490,500,370,353,117,143,3,4
HELAUCHHA,796,872,589,552,203,317,4,3
HOMTANG,1008,1128,798,813,194,296,16,19
JARAYOTAR,725,865,572,604,142,251,11,10
KEEMALUNG,352,403,256,253,86,132,10,18
KEURENIPANI,779,865,621,580,152,276,6,9
KHAIRANG,521,610,390,407,129,201,2,2
KHARTAMCHHA,358,380,251,262,107,118,0,0
KHATAMMA,458,495,356,343,101,149,1,3
KHAWA,358,434,253,305,100,126,5,3
KOT,685,760,574,533,111,222,0,5
KUDAK KAULE,493,562,370,395,107,142,16,25
KULUNG,813,855,638,621,172,231,3,3
LEKHARKA,524,594,443,438,70,148,11,8
MANE BHANJYANG,600,603,436,394,160,206,4,3
MULPANI,727,819,553,569,171,246,3,4
NAGI,207,243,173,187,31,55,3,1
NEPALEDADA,645,745,523,531,119,210,3,4
OKHRE,521,615,397,427,124,187,0,1
PANGCHA,481,606,365,406,116,198,0,2
PATLE PANI,665,739,520,553,143,181,2,5
PAWALA,289,277,217,198,70,79,2,0
PYAULI,408,482,320,328,88,152,0,2
RANIBAS,1102,1220,862,908,234,303,6,9
SANGPANG,673,793,529,570,142,221,2,2
SANO DUMMA,476,549,388,403,86,146,2,0
SHYAMSILA,446,500,354,336,88,157,4,7
SIDDHESWOR,523,604,401,434,119,165,3,5
SINDRANG,204,180,171,132,33,48,0,0
TAKSAR,539,641,424,448,114,189,1,4
THIDINGKHA,423,430,320,282,103,145,0,3
THULO DUMMA,416,445,328,324,88,120,0,1
TIMMA,558,585,452,442,106,143,0,0
TIWARI BHANJYANG,575,637,409,442,161,194,5,1
TUNGGECHHA,455,490,387,348,66,141,2,1
BALANKHA,323,377,249,258,74,119,0,0
YAKU,559,701,472,551,87,143,0,7
YANGPANG,579,683,458,492,120,188,1,3
INSTITUTIONAL,250,24,39,17,211,7,0,0
