VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AAGLUNG,685,1,10,0,0,0,0,5
AMAR ARBATHOK,471,0,4,0,0,0,0,1
AMARPUR,825,7,2,2,3,0,0,1
ANPCHAUR,883,1,31,0,0,0,0,0
ARBANI,557,0,7,0,19,0,0,0
ARJAI,579,0,5,0,0,0,0,2
ARKHALE,1423,2,8,0,0,0,0,6
ARKHAWANG,303,0,0,0,0,0,0,7
ARLANGKOT,453,1,1,0,0,0,0,0
ASLEWA,705,1,54,0,7,0,0,2
BADAGAUN,1708,1,12,0,7,0,0,1
BANJHAKATERI,782,0,2,0,0,0,0,0
BALETAKSAR,987,3,97,0,0,0,1,4
BALITHUM,854,1,3,0,0,0,0,1
BAMGHA,833,4,14,0,2,0,0,2
BHARSE,418,0,2,0,0,0,0,0
BHURTUNG,858,1,5,0,0,0,0,0
BIRBAS,1041,1,44,0,1,0,0,1
BISUKHARKA,534,0,3,0,0,0,0,0
CHHAPAHILE,657,1,0,0,0,0,0,2
DARLAMCHAUR,658,1,4,2,0,0,0,2
DARBAR DEVISTHAN,1217,0,33,0,0,0,0,3
DARLING,599,2,0,0,0,0,0,0
DAUNGHA,650,3,6,0,0,0,1,3
GHAMIR,755,2,9,1,1,0,0,0
BASTU,678,5,11,1,2,0,0,1
BHANBHANE,733,3,4,0,0,0,0,0
NAYAGAUN,995,6,7,3,0,0,0,4
DHURKOT RAJASTHAL,714,5,1,0,0,0,0,0
DIGAM,1111,0,56,0,14,0,1,0
DIBRUNG,447,0,4,0,0,0,0,0
DOHALI,849,1,2,0,0,0,0,0
DUBICHAUR,592,0,19,0,0,0,0,0
FOKSING,573,0,4,0,0,0,0,3
GAUNDAKOT,612,1,29,0,1,0,0,0
GWAGHA,500,0,3,0,1,0,0,0
GWADI,632,1,1,1,3,0,0,4
HADAHADE,880,0,3,0,0,0,0,0
HANSARA,591,5,22,0,8,0,0,0
HARDINETA,1011,0,26,0,5,0,2,1
HAREWA,434,0,0,0,1,0,0,1
HARMICHAUR,483,0,17,0,26,1,0,0
HARRACHAUR,395,1,48,0,0,0,0,0
HASTICHAUR,1536,0,13,1,2,0,0,0
HAWANGDI,384,0,2,2,0,0,0,1
HUNGA,842,1,12,0,1,0,0,2
ISMA RAJASTHAL,800,1,3,0,0,0,0,1
JAISITHOK,623,1,2,0,0,0,0,1
JAYAKHANI,263,1,1,2,0,0,0,3
JOHANG,1000,2,88,0,1,2,0,5
JUNIYA,661,2,10,0,0,0,0,1
JUVUNG,885,0,21,0,41,0,0,0
KHADGAKOT,835,1,0,0,0,0,0,1
KHARJYANG,917,2,11,0,1,0,0,3
KURGHA,639,2,60,1,6,0,0,0
LIMGHA,668,0,6,1,28,0,0,5
MALAGIRI,447,1,0,0,1,0,0,1
MARBHUNG,871,6,3,0,0,0,0,3
MUSIKOT,827,7,4,2,5,0,0,12
MYAL POKHARI,504,1,1,0,0,0,0,1
NETA,684,1,0,0,1,0,0,10
PALLIKOT,619,0,14,0,0,0,0,0
PARALMI,680,5,6,1,0,0,0,3
PAUDI AMARAYEE,733,1,3,0,5,0,0,3
PIPALDHARA,755,0,3,0,0,0,0,3
PURKOT DAHA,877,0,13,1,0,0,1,0
PURTIGHAT,400,2,35,0,0,0,0,0
RIMUWA,543,1,12,0,5,0,0,1
RUPAKOT,851,0,22,0,3,0,0,2
RURU,686,3,177,0,5,1,3,0
SHANTIPUR,776,3,129,0,0,0,0,2
SIMICHAUR,1186,1,30,1,2,0,0,3
SIRSENI,768,0,1,0,2,0,0,12
TAMGHAS,1210,73,2867,2,3,0,6,14
THANPATI,660,0,9,0,7,0,0,1
THULO LUMPEK,1196,3,13,0,16,1,0,2
TURANG,851,7,95,0,5,0,0,3
WAGLA,804,2,7,0,0,0,0,0
WAMITAKSAR,1198,6,108,2,3,1,1,4
TOTAL,59844,197,4394,26,244,6,16,160
