VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AAGLUNG,125,82,43,1202,646,556,407,224,183,133,70,63,93,50,43,32,21,11,10,8,2,1,1,0,0,0,0,91,36,55,13,6,7
AMAR ARBATHOK,37,20,17,539,269,270,334,144,190,176,67,109,148,69,79,42,27,15,11,9,2,1,1,0,0,0,0,73,37,36,0,0,0
AMARPUR,127,76,51,923,440,483,405,175,230,203,79,124,165,85,80,34,22,12,13,12,1,8,6,2,0,0,0,43,25,18,0,0,0
ANPCHAUR,78,40,38,1107,541,566,553,221,332,319,136,183,305,131,174,97,49,48,38,26,12,21,20,1,0,0,0,216,94,122,3,1,2
ARBANI,44,22,22,810,384,426,429,181,248,211,104,107,206,84,122,69,31,38,15,7,8,2,2,0,0,0,0,79,50,29,12,4,8
ARJAI,81,48,33,700,343,357,381,160,221,195,86,109,209,101,108,54,28,26,17,13,4,3,3,0,0,0,0,112,48,64,3,0,3
ARKHALE,237,133,104,1322,629,693,871,383,488,586,239,347,550,271,279,175,84,91,31,24,7,5,4,1,0,0,0,334,182,152,8,3,5
ARKHAWANG,60,38,22,407,199,208,234,95,139,169,87,82,64,33,31,43,20,23,12,10,2,5,4,1,0,0,0,10,10,0,26,10,16
ARLANGKOT,30,19,11,563,249,314,300,138,162,143,64,79,154,76,78,79,44,35,12,9,3,5,5,0,0,0,0,180,91,89,12,10,2
ASLEWA,109,60,49,742,339,403,432,166,266,283,113,170,256,105,151,80,46,34,22,16,6,8,8,0,0,0,0,159,77,82,2,0,2
BADAGAUN,236,122,114,2472,1261,1211,1150,548,602,519,229,290,323,144,179,110,55,55,19,14,5,8,7,1,0,0,0,591,170,421,0,0,0
BANJHAKATERI,73,43,30,1275,662,613,405,194,211,173,85,88,104,42,62,34,15,19,9,8,1,1,0,1,0,0,0,41,8,33,6,3,3
BALETAKSAR,102,62,40,1043,509,534,732,331,401,385,158,227,383,168,215,148,68,80,45,36,9,16,15,1,0,0,0,194,135,59,0,0,0
BALITHUM,135,63,72,1072,490,582,567,247,320,263,105,158,161,77,84,33,21,12,17,13,4,3,2,1,0,0,0,252,109,143,7,3,4
BAMGHA,162,89,73,821,362,459,543,222,321,260,107,153,251,123,128,124,57,67,23,14,9,9,8,1,0,0,0,58,38,20,2,1,1
BHARSE,62,36,26,400,166,234,255,108,147,184,101,83,81,43,38,23,9,14,15,11,4,0,0,0,1,0,1,89,30,59,4,1,3
BHURTUNG,135,66,69,1061,550,511,565,230,335,282,137,145,170,87,83,69,38,31,23,16,7,5,5,0,4,2,2,220,92,128,8,4,4
BIRBAS,173,87,86,1207,541,666,837,308,529,367,171,196,318,164,154,70,38,32,28,19,9,11,11,0,1,0,1,331,111,220,3,1,2
BISUKHARKA,63,30,33,682,330,352,323,140,183,229,111,118,132,72,60,67,31,36,11,8,3,2,2,0,0,0,0,80,37,43,1,0,1
CHHAPAHILE,54,35,19,1052,532,520,356,163,193,145,65,80,133,71,62,39,22,17,7,5,2,1,1,0,2,2,0,107,47,60,0,0,0
DARLAMCHAUR,100,52,48,892,433,459,282,116,166,159,70,89,87,31,56,28,15,13,15,10,5,0,0,0,2,1,1,34,13,21,0,0,0
DARBAR DEVISTHAN,184,109,75,1234,620,614,808,375,433,495,207,288,442,175,267,121,63,58,35,29,6,10,9,1,0,0,0,272,105,167,10,4,6
DARLING,111,66,45,980,474,506,352,161,191,169,84,85,65,33,32,28,18,10,7,5,2,2,2,0,0,0,0,79,33,46,1,1,0
DAUNGHA,54,29,25,877,416,461,397,155,242,202,73,129,180,74,106,38,22,16,21,17,4,1,1,0,7,3,4,146,45,101,0,0,0
GHAMIR,140,82,58,1166,577,589,432,189,243,199,84,115,167,71,96,55,26,29,18,15,3,1,0,1,2,2,0,32,22,10,0,0,0
BASTU,99,54,45,674,338,336,362,146,216,183,86,97,251,114,137,91,57,34,26,15,11,15,15,0,0,0,0,244,93,151,0,0,0
BHANBHANE,151,84,67,813,398,415,378,180,198,245,120,125,204,100,104,49,24,25,27,23,4,7,7,0,5,5,0,139,60,79,1,0,1
NAYAGAUN,152,75,77,1274,625,649,595,237,358,303,150,153,273,105,168,69,44,25,9,8,1,5,5,0,2,1,1,112,47,65,14,7,7
DHURKOT RAJASTHAL,47,20,27,860,403,457,422,182,240,277,143,134,183,90,93,44,24,20,26,20,6,0,0,0,2,2,0,127,52,75,1,0,1
DIGAM,238,128,110,1034,501,533,656,259,397,416,176,240,433,175,258,107,58,49,47,30,17,11,11,0,1,0,1,214,123,91,5,2,3
DIBRUNG,104,61,43,605,295,310,311,137,174,147,70,77,131,52,79,31,12,19,10,8,2,5,5,0,0,0,0,93,41,52,12,5,7
DOHALI,197,101,96,1173,564,609,562,241,321,209,83,126,179,72,107,32,13,19,8,8,0,10,5,5,0,0,0,69,36,33,1,0,1
DUBICHAUR,110,59,51,665,310,355,381,161,220,223,82,141,185,86,99,36,21,15,10,5,5,2,2,0,0,0,0,87,41,46,3,1,2
FOKSING,77,43,34,719,358,361,395,186,209,201,104,97,184,97,87,44,22,22,9,6,3,7,6,1,0,0,0,128,42,86,7,3,4
GAUNDAKOT,60,44,16,698,331,367,425,202,223,216,90,126,181,84,97,41,14,27,6,4,2,0,0,0,0,0,0,308,85,223,0,0,0
GWAGHA,103,57,46,686,313,373,332,155,177,185,89,96,95,53,42,26,12,14,9,5,4,3,3,0,0,0,0,87,43,44,0,0,0
GWADI,57,24,33,728,316,412,437,177,260,191,82,109,95,45,50,35,21,14,17,14,3,1,1,0,0,0,0,270,94,176,3,3,0
