VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AAGLUNG,675,20,0,6
AMAR ARBATHOK,460,15,0,1
AMARPUR,818,18,1,3
ANPCHAUR,797,99,5,14
ARBANI,559,23,0,1
ARJAI,564,16,0,6
ARKHALE,1399,21,0,19
ARKHAWANG,292,17,0,1
ARLANGKOT,400,37,2,16
ASLEWA,637,71,57,4
BADAGAUN,1684,18,0,27
BANJHAKATERI,765,19,0,0
BALETAKSAR,987,93,1,11
BALITHUM,830,18,1,10
BAMGHA,821,16,0,18
BHARSE,377,10,5,28
BHURTUNG,839,13,0,12
BIRBAS,1021,46,2,19
BISUKHARKA,521,13,0,3
CHHAPAHILE,652,6,0,2
DARLAMCHAUR,639,19,0,9
DARBAR DEVISTHAN,1182,51,1,19
DARLING,585,5,0,11
DAUNGHA,655,8,0,0
GHAMIR,739,24,1,4
BASTU,668,24,1,5
BHANBHANE,728,8,0,4
NAYAGAUN,989,19,1,6
DHURKOT RAJASTHAL,716,2,0,2
DIGAM,1055,115,3,9
DIBRUNG,403,16,0,32
DOHALI,827,21,0,4
DUBICHAUR,586,16,1,8
FOKSING,544,28,1,7
GAUNDAKOT,598,38,0,7
GWAGHA,485,8,0,11
GWADI,606,28,0,8
HADAHADE,867,10,0,6
HANSARA,561,53,0,12
HARDINETA,978,54,0,13
HAREWA,414,13,0,9
HARMICHAUR,475,44,2,6
HARRACHAUR,386,54,0,4
HASTICHAUR,1510,29,0,13
HAWANGDI,383,2,1,3
HUNGA,813,24,2,19
ISMA RAJASTHAL,782,21,1,1
JAISITHOK,611,10,0,6
JAYAKHANI,245,22,0,3
JOHANG,903,149,16,30
JUNIYA,637,30,0,7
JUVUNG,902,31,1,13
KHADGAKOT,824,10,0,3
KHARJYANG,880,37,2,15
KURGHA,619,80,2,7
LIMGHA,675,16,0,17
MALAGIRI,445,3,0,2
MARBHUNG,834,41,0,8
MUSIKOT,835,16,0,6
MYAL POKHARI,492,5,0,10
NETA,670,17,0,9
PALLIKOT,606,16,0,11
PARALMI,666,13,0,16
PAUDI AMARAYEE,706,20,0,19
PIPALDHARA,748,7,1,5
PURKOT DAHA,836,48,2,6
PURTIGHAT,379,34,0,24
RIMUWA,538,15,1,8
RUPAKOT,793,63,2,20
RURU,695,137,15,28
SHANTIPUR,760,136,1,13
SIMICHAUR,1160,53,2,8
SIRSENI,769,9,0,5
TAMGHAS,1825,2233,91,26
THANPATI,644,29,0,4
THULO LUMPEK,1202,18,1,10
TURANG,812,129,2,18
WAGLA,795,9,0,9
WAMITAKSAR,1146,153,4,20
TOTAL,58924,4912,232,819
