VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AAGLUNG,837,909,670,621,161,282,6,6
AMAR ARBATHOK,371,419,310,298,49,112,12,9
AMARPUR,702,893,485,565,216,324,1,4
ANPCHAUR,680,843,601,650,72,184,7,9
ARBANI,516,617,444,480,72,134,0,3
ARJAI,496,620,421,451,71,155,4,14
ARKHALE,1062,1323,892,964,161,330,9,29
ARKHAWANG,303,371,268,305,26,51,9,15
ARLANGKOT,379,482,321,358,51,103,7,21
ASLEWA,482,643,403,462,74,173,5,8
BADAGAUN,1581,1946,1360,1325,201,584,20,37
BANJHAKATERI,741,872,574,618,159,231,8,23
BALETAKSAR,748,813,655,612,89,195,4,6
BALITHUM,710,1014,563,648,142,347,5,19
BAMGHA,603,769,511,560,89,199,3,10
BHARSE,239,346,187,255,48,86,4,5
BHURTUNG,758,897,648,646,101,245,9,6
BIRBAS,760,1134,656,783,94,343,10,8
BISUKHARKA,459,561,366,383,84,165,9,13
CHHAPAHILE,673,798,553,557,117,234,3,7
DARLAMCHAUR,523,681,424,476,99,204,0,1
DARBAR DEVISTHAN,925,1081,785,761,127,305,13,15
DARLING,640,841,514,591,125,249,1,1
DAUNGHA,509,705,409,460,99,243,1,2
GHAMIR,730,889,629,646,100,237,1,6
BASTU,491,603,421,450,68,152,2,1
BHANBHANE,602,728,524,547,73,169,5,12
NAYAGAUN,791,1058,705,795,83,250,3,13
DHURKOT RAJASTHAL,591,771,524,565,62,202,5,4
DIGAM,702,862,606,645,87,204,9,13
DIBRUNG,419,490,353,338,57,137,9,15
DOHALI,762,1028,625,719,136,305,1,4
DUBICHAUR,461,656,422,447,34,198,5,11
FOKSING,456,589,371,412,74,165,11,12
GAUNDAKOT,472,581,405,399,64,169,3,13
GWAGHA,445,603,387,434,50,158,8,11
GWADI,428,679,370,478,57,199,1,2
HADAHADE,684,908,583,631,99,272,2,5
HANSARA,494,645,410,467,81,172,3,6
HARDINETA,659,902,595,670,57,221,7,11
HAREWA,326,398,280,297,43,92,3,9
HARMICHAUR,462,523,394,399,68,122,0,2
HARRACHAUR,360,373,318,268,42,105,0,0
HASTICHAUR,1317,1685,1112,1176,205,506,0,3
HAWANGDI,416,510,314,352,94,138,8,20
HUNGA,544,733,461,519,73,197,10,17
ISMA RAJASTHAL,676,845,563,616,104,219,9,10
JAISITHOK,500,596,433,399,66,191,1,6
JAYAKHANI,260,292,202,180,58,112,0,0
JOHANG,741,933,649,691,82,218,10,24
JUNIYA,521,711,457,478,63,229,1,4
JUVUNG,687,889,602,646,85,243,0,0
KHADGAKOT,704,898,583,628,96,234,25,36
KHARJYANG,683,908,600,666,74,224,9,18
KURGHA,600,742,523,526,71,208,6,8
LIMGHA,525,677,446,448,61,183,18,46
MALAGIRI,473,544,357,367,114,176,2,1
MARBHUNG,790,903,652,615,131,282,7,6
MUSIKOT,773,1011,609,721,139,242,25,48
MYAL POKHARI,415,552,363,421,50,127,2,4
NETA,646,816,477,525,141,254,28,37
PALLIKOT,546,690,488,483,55,202,3,5
PARALMI,515,728,414,448,92,270,9,10
PAUDI AMARAYEE,689,799,587,610,92,175,10,14
PIPALDHARA,574,696,488,510,85,184,1,2
PURKOT DAHA,725,1022,599,721,122,290,4,11
PURTIGHAT,361,442,288,296,67,137,6,9
RIMUWA,419,587,350,416,67,167,2,4
RUPAKOT,629,846,568,631,60,213,1,2
RURU,544,607,467,457,73,144,4,6
SHANTIPUR,752,871,639,623,110,243,3,5
SIMICHAUR,928,1170,819,848,99,313,10,9
SIRSENI,588,766,475,541,97,211,16,14
TAMGHAS,2882,2775,2480,2142,349,562,53,71
THANPATI,443,585,400,435,38,146,5,4
THULO LUMPEK,1229,1355,1063,964,159,384,7,7
TURANG,735,819,645,617,82,190,8,12
WAGLA,661,834,594,660,64,172,3,2
WAMITAKSAR,1221,1427,990,973,213,431,18,23
INSTITUTIONAL,486,98,338,84,145,14,3,0
