VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AAGLUNG,312,277,107,5
AMAR ARBATHOK,86,177,213,0
AMARPUR,199,501,139,1
ANPCHAUR,129,400,386,0
ARBANI,80,273,230,0
ARJAI,65,444,75,2
ARKHALE,132,768,533,6
ARKHAWANG,107,106,90,7
ARLANGKOT,29,213,213,0
ASLEWA,62,468,238,1
BADAGAUN,374,535,819,1
BANJHAKATERI,127,450,207,0
BALETAKSAR,107,692,289,4
BALITHUM,301,405,152,1
BAMGHA,146,421,286,2
BHARSE,92,252,76,0
BHURTUNG,185,344,335,0
BIRBAS,186,597,305,0
BISUKHARKA,188,206,143,0
CHHAPAHILE,55,562,41,2
DARLAMCHAUR,119,342,204,2
DARBAR DEVISTHAN,246,561,443,3
DARLING,216,178,207,0
DAUNGHA,230,211,219,3
GHAMIR,215,394,159,0
BASTU,57,376,264,1
BHANBHANE,153,541,46,0
NAYAGAUN,103,626,282,4
DHURKOT RAJASTHAL,248,309,163,0
DIGAM,132,848,202,0
DIBRUNG,75,129,247,0
DOHALI,272,353,227,0
DUBICHAUR,100,314,197,0
FOKSING,139,262,176,3
GAUNDAKOT,25,270,348,0
GWAGHA,159,191,154,0
GWADI,203,296,139,4
HADAHADE,249,413,221,0
HANSARA,152,368,106,0
HARDINETA,148,619,277,1
HAREWA,113,223,99,1
HARMICHAUR,84,225,218,0
HARRACHAUR,57,228,159,0
HASTICHAUR,309,811,432,0
HAWANGDI,9,260,119,1
HUNGA,127,333,396,2
ISMA RAJASTHAL,122,387,295,1
JAISITHOK,73,265,288,1
JAYAKHANI,3,137,127,3
JOHANG,239,582,272,5
JUNIYA,152,239,282,1
JUVUNG,131,440,376,0
KHADGAKOT,307,361,168,1
KHARJYANG,243,397,290,4
KURGHA,191,396,121,0
LIMGHA,129,277,300,2
MALAGIRI,174,192,84,0
MARBHUNG,187,392,301,3
MUSIKOT,129,421,295,12
MYAL POKHARI,119,320,67,1
NETA,185,425,76,10
PALLIKOT,159,390,84,0
PARALMI,206,300,187,2
PAUDI AMARAYEE,174,234,334,3
PIPALDHARA,250,273,235,3
PURKOT DAHA,231,434,227,0
PURTIGHAT,88,308,41,0
RIMUWA,97,208,256,1
RUPAKOT,160,492,224,2
RURU,61,604,210,0
SHANTIPUR,118,531,259,2
SIMICHAUR,136,460,625,2
SIRSENI,204,428,139,12
TAMGHAS,47,3500,614,14
THANPATI,113,446,117,1
THULO LUMPEK,46,1145,38,2
TURANG,238,517,203,3
WAGLA,116,563,134,0
WAMITAKSAR,183,772,364,4
TOTAL,11913,34608,18214,152
