VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BABALA,2677,1181,1496,70,32,38,26,12,14,17,7,10,6,2,4,6,3,3,6,3,3,2,2,0,3,1,2
BAIJINATH,1245,568,677,12,9,3,4,2,2,4,2,2,0,0,0,2,0,2,2,0,2,0,0,0,2,2,0
BANNATOLI,2844,1273,1571,41,12,29,15,6,9,21,12,9,0,0,0,5,4,1,4,2,2,0,0,0,3,3,0
BARADADIVI,4424,2008,2416,6,4,2,6,3,3,10,6,4,0,0,0,2,0,2,4,1,3,0,0,0,0,0,0
BASTI,3665,1707,1958,15,8,7,6,2,4,15,12,3,0,0,0,5,4,1,3,1,2,1,1,0,6,4,2
BATULASEN,4006,1935,2071,96,50,46,51,18,33,16,7,9,1,1,0,2,1,1,9,5,4,5,3,2,13,7,6
BAYALA,3825,1764,2061,47,28,19,31,11,20,22,14,8,2,1,1,13,9,4,1,1,0,4,3,1,3,1,2
BHAGYASWORI,1080,457,623,3,1,2,4,2,2,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1
BHAIRABSTHAN,4013,1905,2108,250,136,114,39,23,16,35,19,16,1,0,1,11,5,6,3,1,2,8,5,3,22,17,5
BHATAKATIYA,4543,2182,2361,51,37,14,19,11,8,17,9,8,2,2,0,5,1,4,6,4,2,0,0,0,10,8,2
