VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANAKAR,34,12,22,1375,771,604,388,234,154,282,203,79,158,110,48,170,117,53,49,31,18,17,14,3,0,0,0,1,0,1,7,5,2
AURAHI,16,10,6,1913,1084,829,719,456,263,269,183,86,321,237,84,164,113,51,47,35,12,7,6,1,5,5,0,69,49,20,12,6,6
BAGADA,83,46,37,860,506,354,419,280,139,178,125,53,166,112,54,94,77,17,18,17,1,5,5,0,2,2,0,9,8,1,5,1,4
BADIYA BANCHAURI,30,17,13,1275,732,543,603,376,227,272,192,80,245,170,75,167,130,37,42,40,2,8,6,2,1,1,0,39,22,17,13,9,4
BAIRGIYA LAXMINIYA,2,1,1,788,418,370,123,76,47,50,30,20,94,76,18,47,34,13,10,10,0,4,4,0,112,51,61,11,5,6,6,4,2
BALAWA,9,7,2,1670,924,746,603,348,255,386,282,104,205,158,47,151,109,42,27,24,3,7,6,1,9,2,7,19,13,6,5,3,2
BANAULI DONAULI,38,28,10,1041,545,496,506,226,280,395,261,134,282,184,98,251,169,82,72,61,11,28,22,6,3,2,1,0,0,0,5,2,3
BANOUTA,161,90,71,1284,756,528,453,281,172,156,105,51,272,217,55,82,57,25,18,17,1,5,5,0,4,3,1,58,45,13,4,2,2
BARDIBAS,345,168,177,2581,1419,1162,1751,914,837,883,484,399,1598,912,686,748,428,320,226,163,63,77,65,12,9,7,2,535,291,244,16,11,5
BASABITTI,42,22,20,1114,665,449,359,246,113,100,71,29,114,83,31,81,59,22,36,30,6,10,9,1,10,6,4,7,6,1,23,13,10
BATHANAHA,16,10,6,1925,1009,916,777,418,359,711,467,244,408,279,129,410,287,123,282,213,69,99,79,20,7,5,2,43,26,17,25,11,14
BELGACHHI,9,4,5,1235,665,570,687,408,279,347,210,137,237,162,75,91,55,36,9,8,1,7,6,1,0,0,0,101,58,43,7,3,4
BHARATPUR,128,79,49,1779,999,780,744,466,278,304,199,105,453,310,143,157,106,51,69,58,11,20,14,6,3,1,2,480,265,215,11,8,3
BHATAULIYA,142,71,71,914,503,411,351,228,123,172,120,52,152,108,44,105,70,35,45,38,7,7,6,1,3,1,2,90,62,28,4,2,2
BIJAYALPURA,166,96,70,1746,972,774,741,418,323,268,165,103,395,248,147,150,110,40,50,42,8,12,12,0,0,0,0,50,30,20,14,9,5
BRAMARPURA,48,23,25,1829,943,886,739,411,328,579,387,192,256,182,74,186,132,54,56,44,12,7,6,1,0,0,0,41,22,19,1,0,1
DAMHIMARAYEE,88,53,35,1511,824,687,905,490,415,312,193,119,560,409,151,226,154,72,138,112,26,29,25,4,3,3,0,23,18,5,85,44,41
DHAMAURA,104,63,41,2745,1479,1266,903,561,342,381,272,109,299,220,79,173,129,44,42,35,7,23,21,2,19,15,4,63,36,27,33,23,10
DHARMAPUR,68,43,25,883,505,378,340,199,141,106,74,32,165,107,58,52,47,5,17,15,2,1,1,0,0,0,0,33,21,12,3,2,1
DHIRAPUR,21,11,10,1752,943,809,706,454,252,418,287,131,234,170,64,189,147,42,60,49,11,19,16,3,54,35,19,0,0,0,24,12,12
EKADARABELA,49,33,16,1826,1111,715,742,454,288,250,164,86,408,288,120,287,209,78,138,101,37,34,27,7,15,10,5,13,5,8,61,36,25
EKARAHIYA,8,4,4,2500,1344,1156,952,580,372,616,430,186,288,196,92,226,165,61,85,73,12,31,23,8,6,3,3,9,6,3,8,5,3
ETAHARWAKATTI,319,195,124,1160,596,564,706,386,320,295,179,116,546,353,193,360,259,101,131,102,29,31,22,9,3,3,0,11,3,8,13,9,4
FULAHATTA PARIKAULI,74,45,29,1276,703,573,509,307,202,339,243,96,206,148,58,171,122,49,90,66,24,17,15,2,0,0,0,13,10,3,71,45,26
FULAKAHA,132,80,52,1290,751,539,400,265,135,163,117,46,180,137,43,71,55,16,23,21,2,6,5,1,4,4,0,93,83,10,1,1,0
GAIDHA BHETPUR,4,2,2,853,445,408,437,261,176,237,157,80,102,83,19,120,97,23,37,33,4,6,6,0,3,0,3,33,16,17,10,7,3
