VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ANAKAR,155,9,692,129,0,0,1,3
AURAHI,255,16,1226,131,2,0,2,6
BAGADA,209,18,804,107,24,0,0,4
BADIYA BANCHAURI,139,1,831,202,1,0,1,3
BAIRGIYA LAXMINIYA,125,3,404,46,0,0,0,6
BALAWA,143,10,1048,272,16,0,1,6
BANAULI DONAULI,107,10,541,284,0,0,0,2
BANOUTA,155,3,989,145,2,0,1,12
BARDIBAS,50,49,1756,812,1,0,7,35
BASABITTI,332,6,564,110,12,0,1,11
BATHANAHA,671,25,600,293,37,0,0,18
BELGACHHI,71,3,1040,17,5,0,0,21
BHARATPUR,248,9,1518,35,10,0,3,13
BHATAULIYA,219,1,505,114,1,0,0,5
BIJAYALPURA,102,20,1364,27,14,0,0,10
BRAMARPURA,139,40,966,555,17,0,6,11
DAMHIMARAYEE,216,9,1183,295,3,0,1,16
DHAMAURA,691,12,1467,250,76,0,3,18
DHARMAPUR,121,24,835,119,3,0,0,2
DHIRAPUR,195,17,980,349,5,0,1,9
EKADARABELA,415,16,939,232,0,0,1,2
EKARAHIYA,143,14,1242,389,0,0,0,8
ETAHARWAKATTI,264,6,649,215,12,0,2,8
FULAHATTA PARIKAULI,171,15,598,197,5,0,13,24
FULAKAHA,157,4,954,37,22,0,0,13
GAIDHA BHETPUR,68,3,709,118,13,0,1,7
GAURIBAS,135,50,1203,88,1,0,6,4
GAUSHALA,238,21,2330,399,18,0,3,13
GONARPURA,290,4,804,199,4,0,1,6
HALKHORI,265,7,656,121,0,0,0,2
HARIHARPUR HARINAMARI,298,4,905,37,30,0,1,8
HATHILET,104,7,996,17,2,0,1,12
HATISARWA,307,10,907,15,5,0,0,10
JALESHWOR MUNICIPALITY,491,35,1770,1687,45,0,17,159
KHAIRBANNI,215,10,1123,96,5,0,0,37
KHAYAR MARA,150,41,1498,10,20,0,0,8
KHOPI,194,35,1081,90,2,0,2,5
KHUTTAPIPARADHI,326,25,1115,270,40,0,0,15
KISAN NAGAR,69,22,1364,33,6,0,0,13
KOLHUWA BAGAICHA,208,17,965,101,10,0,0,7
LAXIMINIYA,126,17,1786,22,11,0,0,33
LOHARPATTI,176,6,1055,280,1,0,10,9
MAHADAIYATAPANPUR,290,6,598,186,2,0,1,6
MAHOTTARI,347,16,1131,314,8,0,3,11
MAISTHAN,137,44,1944,12,5,0,10,13
MAJHORA BISHNUPUR,280,12,693,194,4,0,0,16
MANARA,218,8,706,177,24,0,0,22
MATIHANI,366,9,623,502,5,0,1,4
MEGHANATH GORAHANNA,160,6,822,21,4,0,26,9
NAINHI,269,19,654,180,3,0,2,218
NIGAUL,241,45,973,86,2,0,0,6
PARAUL,80,4,900,162,3,0,11,3
PARSA DEWADH,174,3,1372,97,8,0,0,10
PARSA PATELI,164,29,338,173,1,0,2,2
PASUPATINAGAR,39,4,770,18,3,0,1,6
PIGOUNA,100,9,408,205,10,0,0,7
PIPRA,182,10,1052,354,8,0,1,28
POKHARIBHINDA SAMGRAMPUR,156,9,680,90,2,0,0,5
RAGHUNATHPUR,56,21,859,60,2,0,0,15
RAMGOPALPUR,388,9,1476,159,4,0,1,18
RAMNAGAR,65,13,1217,43,1,0,2,2
RATAULI,89,7,674,199,13,0,1,10
SAHASAULA,212,6,903,123,7,0,1,17
SAHORAWA,121,2,790,174,2,0,29,4
SANDHA,159,0,506,107,6,0,12,11
SARPALLO,157,15,1187,336,59,0,6,29
SHAMSI,168,8,842,246,0,0,6,3
SHREEPUR,282,32,1555,129,2,0,3,7
SIMARDAHI,373,7,412,163,0,0,1,5
SINGYAHI,193,11,1091,84,55,0,20,18
SISAWAKATAIYA,291,15,782,177,16,0,0,9
SONAMA,147,7,1239,117,0,0,0,19
SONAMAI,517,155,892,81,4,0,1,12
SONAUL,190,26,395,66,15,0,1,4
SUGA VAWANI,166,4,517,285,5,0,0,48
SUNDARPUR,400,51,1681,159,12,0,5,5
VAGAHA,290,8,1975,96,1,0,10,19
TOTAL,16620,1284,76619,14520,777,0,243,1235
