VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANAKAR,551,431,2,3,0,2
AURAHI,992,638,3,3,0,2
BAGADA,856,222,1,81,0,6
BADIYA BANCHAURI,687,438,2,49,0,2
BAIRGIYA LAXMINIYA,467,112,0,0,0,5
BALAWA,1131,356,2,6,0,1
BANAULI DONAULI,732,206,1,5,0,0
BANOUTA,619,675,2,2,0,9
BARDIBAS,2363,307,13,10,4,13
BASABITTI,624,400,0,5,0,7
BATHANAHA,739,879,3,7,0,16
BELGACHHI,694,454,0,0,1,8
BHARATPUR,864,952,1,8,0,11
BHATAULIYA,488,345,1,5,1,5
BIJAYALPURA,1030,496,2,5,2,2
BRAMARPURA,1560,154,1,13,0,6
DAMHIMARAYEE,1295,410,1,7,6,4
DHAMAURA,1400,1098,2,5,1,11
DHARMAPUR,772,315,3,7,5,2
DHIRAPUR,1190,351,1,6,3,5
EKADARABELA,915,663,4,19,0,4
EKARAHIYA,1434,346,6,3,1,6
ETAHARWAKATTI,591,553,4,2,2,4
FULAHATTA PARIKAULI,844,163,2,2,0,12
FULAKAHA,559,610,0,4,0,14
GAIDHA BHETPUR,409,498,0,8,0,4
GAURIBAS,1259,212,8,3,4,1
GAUSHALA,1647,1357,1,9,3,5
GONARPURA,651,654,1,2,0,0
HALKHORI,797,245,1,4,1,3
HARIHARPUR HARINAMARI,985,284,2,10,0,2
HATHILET,754,367,2,5,2,9
HATISARWA,624,601,2,21,0,6
JALESHWOR MUNICIPALITY,3532,602,14,7,1,48
KHAIRBANNI,892,541,5,10,0,38
KHAYAR MARA,330,930,19,442,1,5
KHOPI,816,555,1,32,0,5
KHUTTAPIPARADHI,1134,635,2,2,1,17
KISAN NAGAR,1150,334,4,12,0,7
KOLHUWA BAGAICHA,836,461,3,7,0,1
LAXIMINIYA,1354,614,1,6,0,20
LOHARPATTI,1182,349,1,4,0,1
MAHADAIYATAPANPUR,772,299,4,13,0,1
MAHOTTARI,1356,452,2,17,3,0
MAISTHAN,1878,193,15,72,1,6
MAJHORA BISHNUPUR,903,267,5,9,0,15
MANARA,731,401,1,3,1,18
MATIHANI,1149,355,2,2,0,2
MEGHANATH GORAHANNA,773,260,2,5,1,7
NAINHI,760,563,0,5,0,17
NIGAUL,557,776,1,13,2,4
PARAUL,909,245,0,6,0,3
PARSA DEWADH,774,868,3,4,0,15
PARSA PATELI,565,142,0,2,0,0
PASUPATINAGAR,738,93,0,6,0,4
PIGOUNA,621,106,2,8,0,2
PIPRA,1002,604,1,10,2,16
POKHARIBHINDA SAMGRAMPUR,236,690,1,8,4,3
RAGHUNATHPUR,213,775,1,9,4,11
RAMGOPALPUR,748,1281,2,3,6,15
RAMNAGAR,1003,325,3,11,0,1
RATAULI,630,347,4,0,0,12
SAHASAULA,664,588,5,1,0,11
SAHORAWA,783,336,1,2,0,0
SANDHA,537,254,0,3,4,3
SARPALLO,1477,271,2,11,1,27
SHAMSI,465,786,2,15,1,4
SHREEPUR,966,1000,5,30,2,7
SIMARDAHI,521,426,2,7,1,4
SINGYAHI,703,735,6,13,1,14
SISAWAKATAIYA,678,593,2,10,0,7
SONAMA,1155,361,0,4,0,9
SONAMAI,941,686,1,22,1,11
SONAUL,389,206,5,16,80,1
SUGA VAWANI,749,228,1,7,0,40
SUNDARPUR,1037,1258,1,13,1,3
VAGAHA,1207,1154,3,14,6,15
TOTAL,70339,38737,209,1215,161,637
