VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BANJA KAKANI,445,148,6,8,187,4
BANLEK,411,13,22,24,567,0
BARCHHEN,1,41,0,576,328,4
BASUDEVI,0,2,1,116,582,5
BHUMIRAJMADAU,456,152,4,14,280,5
CHAWARA CHAUTARA,2,49,1,217,256,1
CHHAPALI,0,1,1,107,505,9
CHHATIWAN,287,16,1,113,323,2
DAHAKALIKASTHAN,1,234,4,23,178,7
DAUD,643,67,3,32,423,5
DHANGLAGAU,0,25,0,255,394,1
DHIRKAMANDAU,1,4,2,80,235,2
DIPAYAL SILGADHI MUNICIPALITY,4732,299,23,9,412,18
DURGAMADAU,0,141,0,171,546,0
GADASERA,326,48,1,43,116,4
GAGUDA,0,42,0,242,296,4
GAIHRAGAU,2,135,0,78,510,0
GANJARI,1,20,0,49,425,9
GHANTESWOR,119,121,0,109,157,1
GIRICHAUKA,1,1,0,170,609,3
JIJODAMANDAU,185,14,1,1,191,1
KADAMADAUN,1,313,0,91,453,2
KALENA,230,116,13,5,175,3
KALIKASTHAN,107,432,3,27,492,6
KANACHAUR,0,36,0,45,292,1
KAPALLEKI,296,207,2,6,241,1
KEDAR AKHADA,1,23,0,70,195,3
KHATIWADA,279,43,1,16,865,3
KHIRSAIN,349,152,3,0,123,3
LADAGADA,8,65,1,49,744,4
LAMIKHAL,6,5,1,197,641,3
LANA KEDARESWOR,1,113,0,139,313,0
LATAMANDAU,594,8,1,3,497,1
LAXMI NAGAR,12,51,3,411,434,0
MAHADEVSTHAN,0,5,0,121,665,7
MANNAKAPADI,133,29,0,117,249,0
MUDABHARA,403,126,0,2,437,2
MUDHEGAU,272,19,0,1,170,0
NIRAULI,0,29,0,190,309,0
PACHANALI,441,14,36,3,151,2
POKHARI,0,0,1,62,800,9
RANAGAU,340,131,7,4,109,5
SANAGAU,60,152,2,11,332,1
SARASWOTINAGAR,0,14,0,239,328,1
SATPHARI,226,9,0,103,177,1
SIMCHAUR,0,121,0,158,234,1
TIJALI,81,1,0,1,356,2
TIKHATAR,0,115,1,263,807,2
TOLENI,795,15,2,127,208,7
WAGALEK,3,248,0,24,554,14
WARPATA,247,20,1,62,525,3
TOTAL,12498,4185,148,4984,19396,172
