VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AYODHYAPURI,374,250,1517,198,4,200,12
BACHHAULI,139,1256,10,445,1,452,18
BAGAUDA,475,447,403,967,34,201,5
BHANDARA,998,1292,238,445,9,502,5
BHARATPUR MUNICIPALITY,2587,31461,705,715,131,840,500
BIRENDRANAGAR,1654,1181,178,113,190,46,12
CHAINPUR,1999,1439,82,141,17,71,30
CHANDI BHANJYANG,746,35,47,12,0,2,5
DAHAKHANI,391,60,478,6,0,2,2
DARECHOK,937,854,160,37,3,32,6
DIBYANAGAR,134,1170,51,466,20,76,19
FULBARI,110,721,17,73,4,18,2
GARDI,427,412,221,740,16,341,11
GITANAGAR,440,2041,58,366,96,351,23
GUNJANAGAR,241,2725,151,276,8,130,15
JAGATPUR,251,1376,11,246,651,91,9
JUTPANI,1951,1006,256,69,3,25,15
KABILAS,527,230,352,23,0,29,3
KATHAR,133,786,104,593,1,403,20
KAULE,885,0,35,33,0,2,8
KHAIRAHANI,556,3236,133,616,13,177,31
KORAK,404,10,684,28,0,29,6
KUMROJ,65,790,112,476,4,298,5
LOTHAR,476,1,198,78,0,3,10
MADI KALYANPUR,837,176,381,201,44,63,3
MANGALPUR,267,3296,163,372,7,382,40
MEGHAULI,174,1226,24,1191,100,362,9
PADAMPUR,629,1224,370,532,3,463,10
PARBATIPUR,203,1112,42,43,101,100,13
PATIHANI,514,1570,42,385,265,49,20
PIPLE,643,1358,814,304,6,126,14
PITHUWA,1842,974,42,14,8,7,11
RATNANAGAR MUNICIPALITY,4038,5735,116,459,8,261,234
SARADANAGAR,136,2244,108,150,8,24,22
SHAKTIKHOR,617,379,810,51,2,30,20
SIBANAGAR,219,1388,52,153,16,39,1
SIDDI,313,5,277,13,0,40,3
SUKRANAGAR,312,1029,9,222,223,66,2
TOTAL,27644,74495,9451,11252,1996,6333,1174
