VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,132462,579984,279087,300897,4.378493454726638,92.75167249922731
AYODHYAPURI,2555,10693,4914,5779,4.185127201565558,85.03201245890293
BACHHAULI,2321,10905,5387,5518,4.698405859543301,97.62595143167815
BAGAUDA,2532,10913,4856,6057,4.3100315955766195,80.17170216278686
BHANDARA,3489,16121,7529,8592,4.620521639438234,87.6280260707635
BHARATPUR MUNICIPALITY,36939,143836,71175,72661,3.8938790979723326,97.9548863902231
BIRENDRANAGAR,3374,14934,6909,8025,4.426200355660937,86.09345794392523
CHAINPUR,3779,16786,7752,9034,4.441915850754167,85.80916537524907
CHANDI BHANJYANG,847,4978,2460,2518,5.877213695395514,97.69658459094519
DAHAKHANI,939,4803,2304,2499,5.115015974440895,92.1968787515006
DARECHOK,2029,9607,4836,4771,4.734844751108921,101.3623978201635
DIBYANAGAR,1936,8334,3787,4547,4.304752066115703,83.28568286782495
FULBARI,945,3862,1791,2071,4.086772486772487,86.4799613713182
GARDI,2168,9241,4061,5180,4.262453874538745,78.3976833976834
GITANAGAR,3375,13929,6553,7376,4.127111111111111,88.84219088937093
GUNJANAGAR,3546,15071,6829,8242,4.2501410039481105,82.85610288764863
JAGATPUR,2635,11195,5217,5978,4.248576850094877,87.26998996319838
JUTPANI,3325,14324,6626,7698,4.3079699248120304,86.07430501428942
KABILAS,1164,5815,2818,2997,4.995704467353952,94.02736069402737
KATHAR,2040,9696,4410,5286,4.752941176470588,83.42792281498296
KAULE,963,5614,2860,2754,5.829698857736241,103.84894698620188
KHAIRAHANI,4762,21530,10155,11375,4.521209575808484,89.27472527472527
KORAK,1161,6550,3296,3254,5.641688199827735,101.29071911493546
KUMROJ,1750,8082,3758,4324,4.618285714285714,86.91026827012026
LOTHAR,766,5047,2583,2464,6.588772845953002,104.82954545454545
MADI KALYANPUR,1705,6836,3045,3791,4.009384164222874,80.32181482458455
MANGALPUR,4527,19066,8970,10096,4.211619173845814,88.8470681458003
MEGHAULI,3086,14149,6341,7808,4.584899546338302,81.21157786885246
PADAMPUR,3231,14924,7104,7820,4.6190034045187245,90.84398976982098
PARBATIPUR,1614,6506,2937,3569,4.03097893432466,82.29195853180163
PATIHANI,2845,11500,5282,6218,4.042179261862917,84.94692827275652
PIPLE,3265,15455,7412,8043,4.73353751914242,92.15466865597413
PITHUWA,2898,12579,5696,6883,4.340579710144928,82.75461281417986
RATNANAGAR MUNICIPALITY,10851,46367,22173,24194,4.273062390563082,91.64668926180045
SARADANAGAR,2692,11508,5187,6321,4.274888558692422,82.05980066445183
SHAKTIKHOR,1909,9418,4597,4821,4.933473022524882,95.35366106616885
SIBANAGAR,1868,7674,3421,4253,4.10813704496788,80.43733834940042
SIDDI,651,3827,1891,1936,5.878648233486943,97.67561983471074
SUKRANAGAR,1863,8057,3693,4364,4.324745034889962,84.62419798350138
