VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AYODHYAPURI,1531,60,7,957
BACHHAULI,2017,202,10,92
BAGAUDA,2271,91,5,165
BHANDARA,2359,275,24,831
BHARATPUR MUNICIPALITY,20226,14823,940,950
BIRENDRANAGAR,2836,280,15,243
CHAINPUR,3363,305,39,72
CHANDI BHANJYANG,820,19,2,6
DAHAKHANI,735,5,0,199
DARECHOK,1436,509,24,60
DIBYANAGAR,1749,106,24,57
FULBARI,811,42,53,39
GARDI,1900,54,4,210
GITANAGAR,2729,267,8,371
GUNJANAGAR,3212,250,7,77
JAGATPUR,2336,156,46,97
JUTPANI,2956,318,3,48
KABILAS,1042,99,9,14
KATHAR,1885,29,3,123
KAULE,952,0,0,11
KHAIRAHANI,3806,821,42,93
KORAK,428,1,0,732
KUMROJ,1603,50,1,96
LOTHAR,719,3,1,43
MADI KALYANPUR,1413,29,0,263
MANGALPUR,3663,403,246,215
MEGHAULI,2798,119,18,151
PADAMPUR,3101,105,5,20
PARBATIPUR,1452,94,6,62
PATIHANI,2654,142,8,41
PIPLE,1350,147,7,1761
PITHUWA,2595,236,9,58
RATNANAGAR MUNICIPALITY,8412,1942,114,383
SARADANAGAR,2311,336,12,33
SHAKTIKHOR,1796,87,3,23
SIBANAGAR,1530,109,3,226
SIDDI,576,1,0,74
SUKRANAGAR,1734,74,6,49
TOTAL,99107,22589,1704,8945
