VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AYODHYAPURI,197,102,95,3261,1657,1604,1360,614,746,630,304,326,396,223,173,157,99,58,29,20,9,9,5,4,3,1,2,534,268,266,13,9,4
BACHHAULI,195,107,88,2419,1279,1140,1814,908,906,1154,624,530,939,550,389,555,342,213,164,116,48,20,15,5,7,3,4,517,256,261,27,20,7
BAGAUDA,183,99,84,2979,1466,1513,1801,827,974,789,357,432,578,329,249,214,121,93,54,39,15,16,12,4,3,1,2,397,184,213,8,5,3
BHANDARA,378,199,179,4173,2162,2011,2516,1209,1307,1403,711,692,1138,614,524,584,284,300,145,81,64,39,34,5,12,9,3,743,333,410,25,15,10
BHARATPUR MUNICIPALITY,2901,1600,1301,28150,14791,13359,21499,10702,10797,14293,7098,7195,18702,9605,9097,14728,7705,7023,6543,4045,2498,2551,1928,623,119,57,62,5079,2327,2752,321,159,162
BIRENDRANAGAR,288,159,129,3479,1779,1700,2590,1251,1339,1253,620,633,1409,703,706,635,326,309,182,104,78,28,20,8,11,4,7,775,361,414,23,9,14
CHAINPUR,309,177,132,3813,1933,1880,2726,1296,1430,1587,785,802,1500,792,708,792,401,391,239,142,97,60,47,13,8,4,4,614,284,330,124,65,59
CHANDI BHANJYANG,202,97,105,1530,833,697,429,226,203,152,83,69,52,27,25,38,24,14,0,0,0,0,0,0,3,2,1,277,125,152,5,2,3
DAHAKHANI,148,71,77,1667,897,770,506,293,213,72,46,26,33,22,11,25,17,8,3,2,1,0,0,0,1,1,0,43,29,14,2,1,1
DARECHOK,256,150,106,2666,1420,1246,1413,730,683,782,430,352,527,282,245,389,214,175,95,73,22,32,26,6,1,1,0,795,440,355,26,16,10
