VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AYODHYAPURI,360,2100,1825,365,6,2,8,72,1499,4,70,311,13,3,95
BACHHAULI,52,2243,1489,1561,826,291,153,310,1981,109,483,1921,53,384,26
BAGAUDA,264,2243,1750,726,33,22,57,69,1753,3,181,1389,33,8,25
BHANDARA,199,3257,1862,1698,875,258,105,386,2859,58,364,2219,94,320,33
BHARATPUR MUNICIPALITY,948,35706,24088,22814,25431,9960,5634,9927,32203,1598,11885,22823,277,13651,285
BIRENDRANAGAR,161,3189,2016,1659,853,291,94,211,2733,72,444,2279,37,485,24
CHAINPUR,113,3582,2271,2285,1606,324,217,274,3198,34,627,2821,48,549,84
CHANDI BHANJYANG,115,704,662,43,4,0,0,3,272,0,10,7,0,5,28
DAHAKHANI,171,767,572,35,9,0,0,3,514,1,42,287,4,2,1
DARECHOK,181,1818,1168,779,820,134,42,184,1583,35,172,134,6,302,30
DIBYANAGAR,92,1832,1135,1181,479,164,53,59,1569,54,291,1470,9,279,12
FULBARI,19,915,706,735,510,143,45,35,803,8,243,769,4,287,11
GARDI,135,1964,1580,615,14,19,24,92,1658,4,135,1273,59,3,69
GITANAGAR,138,3200,2265,2056,1270,391,180,107,2737,41,760,2662,21,603,37
GUNJANAGAR,109,3379,2245,2420,997,254,130,225,2988,76,650,2886,21,680,58
JAGATPUR,179,2394,1602,1432,326,93,68,8,1917,8,344,1656,7,308,62
JUTPANI,98,3207,2281,1820,1133,295,70,197,2818,91,596,2810,12,499,20
KABILAS,261,879,585,287,194,16,8,21,688,15,75,92,2,128,24
KATHAR,95,1933,1095,983,530,119,72,66,1617,33,264,1691,8,84,12
KAULE,260,651,593,4,0,1,2,5,278,0,1,2,0,0,52
KHAIRAHANI,94,4612,2439,2306,2375,809,277,786,4048,90,926,3496,60,983,56
KORAK,200,947,834,35,3,0,0,5,402,1,16,182,0,1,14
KUMROJ,120,1623,1105,1022,299,93,53,45,1190,12,231,1323,38,102,7
LOTHAR,245,503,476,17,2,1,0,5,113,1,3,1,0,0,18
MADI KALYANPUR,135,1550,1344,538,14,5,6,59,1310,4,122,600,20,1,20
MANGALPUR,190,4293,3137,2843,1789,500,373,337,3670,101,992,3413,37,965,44
MEGHAULI,120,2916,2174,1848,261,100,55,66,2405,112,272,2309,60,240,50
PADAMPUR,105,3080,2021,1466,750,151,83,79,2471,22,400,2773,35,198,46
PARBATIPUR,70,1538,1115,1117,412,141,63,59,1359,49,320,1285,19,340,6
PATIHANI,143,2682,1885,1868,421,231,90,115,2192,29,506,2305,7,409,20
PIPLE,374,2850,1904,1717,633,187,87,101,2380,83,202,1515,35,246,41
PITHUWA,123,2755,1934,1790,1114,319,124,293,2402,28,494,2262,30,455,20
RATNANAGAR MUNICIPALITY,306,10422,6905,5844,7112,1887,1079,2058,9339,266,2534,8281,121,2321,123
SARADANAGAR,46,2624,1766,2114,1040,257,95,308,2349,26,628,2245,18,833,22
SHAKTIKHOR,402,1478,1014,488,228,22,4,24,1055,12,157,586,1,72,29
SIBANAGAR,44,1822,1356,1318,673,185,111,69,1566,29,406,1619,17,457,2
SIDDI,168,449,426,17,7,0,0,11,167,1,6,30,0,0,34
SUKRANAGAR,94,1761,1199,1206,319,115,71,35,1550,19,314,1548,55,243,8
