VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAISI BICHAWA,112,692,1451,105,27,0,4,14
BELDANDI,627,567,1347,420,10,0,17,34
CHANDANI,1157,632,459,1323,15,0,35,39
DAIJEE,222,153,3756,823,74,0,36,27
DEKHATBHULI,278,93,2780,57,40,0,1,36
DODHARA,2092,780,115,671,14,0,13,47
JHALARI,129,127,3577,875,34,0,13,27
KALIKA,141,425,1882,241,11,0,13,47
KRISHNAPUR,351,164,5276,719,128,0,2,83
LAXMIPUR,32,207,1649,223,54,0,3,7
BHIMDATTA MUNICIPALITY,1682,920,4608,12423,96,0,271,684
PARASAN,456,502,1552,89,17,0,11,24
PIPALADI,27,82,2706,374,21,0,2,31
RAIKAWAR BICHAWA,89,230,2260,148,27,0,1,29
RAMPUR BILASIPUR,130,292,2185,275,1,0,22,23
RAUTELI BICHAWA,247,179,295,9,1,0,1,6
SANKARPUR,22,41,970,12,2,0,2,16
SREEPUR,29,268,2442,740,12,0,4,59
SUDA,157,87,2137,1685,18,0,23,21
TRIBHUWANBASTI,96,806,1475,286,7,0,28,26
TOTAL,8076,7247,42922,21498,609,0,502,1280
