VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAISI BICHAWA,3193,3653,2350,2348,815,1275,28,30
BELDANDI,4015,4581,3067,2979,889,1528,59,74
CHANDANI,4222,4751,3239,3192,907,1433,76,126
DAIJEE,6004,6564,4731,4590,1193,1834,80,140
DEKHATBHULI,4366,4748,3013,2832,1317,1850,36,66
DODHARA,4303,5087,3217,3191,1007,1762,79,134
JHALARI,5151,5819,4132,4014,957,1741,62,64
KALIKA,3328,3810,2580,2545,696,1209,52,56
KRISHNAPUR,8189,8821,6357,6134,1733,2536,99,151
LAXMIPUR,2943,3400,2334,2453,594,929,15,18
BHIMDATTA MUNICIPALITY,20107,20520,16194,14653,3417,5202,496,665
PARASAN,3134,3647,2412,2385,676,1200,46,62
PIPALADI,3715,4379,2984,3015,696,1296,35,68
RAIKAWAR BICHAWA,3656,4232,2549,2581,1026,1512,81,139
RAMPUR BILASIPUR,3962,4503,2968,3030,983,1446,11,27
RAUTELI BICHAWA,971,1228,757,788,212,438,2,2
SANKARPUR,1623,1814,1084,1130,532,665,7,19
SREEPUR,4588,5053,3436,3475,1008,1356,144,222
SUDA,4202,4559,3339,3235,748,1207,115,117
TRIBHUWANBASTI,2916,3346,2266,2209,600,1064,50,73
INSTITUTIONAL,699,52,123,32,571,20,5,0
