VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAISI BICHAWA,794,259,748,588,4,4,8
BELDANDI,386,666,441,1378,68,54,29
CHANDANI,96,1993,542,885,0,99,45
DAIJEE,633,1184,2398,403,8,440,25
DEKHATBHULI,251,115,1960,922,0,3,34
DODHARA,380,1222,452,1034,8,593,43
JHALARI,304,1155,2853,242,10,203,15
KALIKA,837,577,491,411,178,219,47
KRISHNAPUR,318,1047,4395,635,23,243,62
LAXMIPUR,258,418,284,1169,18,22,6
BHIMDATTA MUNICIPALITY,2637,13301,2501,1409,94,254,488
PARASAN,823,324,547,810,57,65,25
PIPALADI,229,496,1837,529,2,122,28
RAIKAWAR BICHAWA,84,343,2025,305,0,2,25
RAMPUR BILASIPUR,98,463,328,1012,4,1003,20
RAUTELI BICHAWA,4,26,4,517,0,168,19
SANKARPUR,28,29,228,764,1,1,14
SREEPUR,280,1194,204,1459,6,351,60
SUDA,797,1927,725,539,15,108,17
TRIBHUWANBASTI,1057,747,443,273,145,32,27
TOTAL,10294,27486,23406,15284,641,3986,1037
