VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
BAISI BICHAWA,12743,6010,6733,8244,4485,3759,396,190,206,4100,1334,2766,3,1,2,64.6943419916817,74.62562396006656,55.8294965097282
BELDANDI,15759,7292,8467,10595,5775,4820,163,70,93,4995,1445,3550,6,2,4,67.23142331366203,79.1963795940757,56.92689264202196
CHANDANI,17347,8009,9338,12098,6510,5588,254,124,130,4990,1373,3617,5,2,3,69.74116561941545,81.28355599950055,59.84150781751981
DAIJEE,24553,11509,13044,16175,8836,7339,703,359,344,7672,2313,5359,3,1,2,65.87789679468904,76.77469806238597,56.26341613002147
DEKHATBHULI,16549,8049,8500,10198,5765,4433,351,167,184,5998,2116,3882,2,1,1,61.62305879509336,71.62380419927942,52.15294117647059
DODHARA,17549,7899,9650,12578,6466,6112,376,171,205,4590,1261,3329,5,1,4,71.67359963530686,81.8584630965945,63.33678756476684
JHALARI,21841,10110,11731,15097,8101,6996,498,218,280,6240,1787,4453,6,4,2,69.12229293530517,80.12858555885262,59.636859602761916
KALIKA,13775,6406,7369,9732,5146,4586,152,66,86,3889,1194,2695,2,0,2,70.6497277676951,80.33093974399,62.23368163929977
KRISHNAPUR,32833,15549,17284,22263,12207,10056,1004,474,530,9558,2866,6692,8,2,6,67.80677976426158,78.50665637661585,58.180976625781064
LAXMIPUR,12551,5866,6685,9694,5001,4693,119,55,64,2737,809,1928,1,1,0,77.23687355589196,85.25400613706104,70.20194465220642
BHIMDATTA MUNICIPALITY,95760,46367,49393,74061,40627,33434,1625,746,879,20038,4982,15056,36,12,24,77.34022556390977,87.62050596329286,67.68975360881096
PARASAN,12718,5785,6933,8160,4366,3794,293,131,162,4262,1288,2974,3,0,3,64.16103160874351,75.47104580812446,54.72378479734603
PIPALADI,15840,7271,8569,11005,5933,5072,387,147,240,4446,1191,3255,2,0,2,69.4760101010101,81.59812955576949,59.19010386276111
RAIKAWAR BICHAWA,15112,7130,7982,9604,5312,4292,282,137,145,5220,1678,3542,6,3,3,63.55214399152991,74.50210378681626,53.770984715610126
RAMPUR BILASIPUR,16841,7968,8873,10959,6045,4914,461,220,241,5417,1700,3717,4,3,1,65.07333293747402,75.8659638554217,55.381494421278035
RAUTELI BICHAWA,3866,1733,2133,2518,1343,1175,47,12,35,1300,378,922,1,0,1,65.13191929643042,77.49567224466244,55.08673230192217
SANKARPUR,6545,3187,3358,4269,2442,1827,126,56,70,2147,687,1460,3,2,1,65.2253628724217,76.62378412299968,54.40738534842168
SREEPUR,19637,9343,10294,14015,7564,6451,553,238,315,5060,1537,3523,9,4,5,71.37037225645464,80.95900674301616,62.66757334369536
SUDA,19983,9451,10532,14951,8078,6873,416,179,237,4606,1193,3413,10,1,9,74.81859580643547,85.4724367791768,65.25826053930878
TRIBHUWANBASTI,12743,5739,7004,8880,4614,4266,446,186,260,3416,939,2477,1,0,1,69.6853174291768,80.39728175640354,60.90805254140491
INSTITUTIONAL,2738,2658,80,2730,2654,76,1,1,0,7,3,4,0,0,0,99.70781592403213,99.84951091045899,95
