VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BANJH,439,271,103,5
BHAIRABANATH,727,59,78,4
BHAMCHAUR,187,399,160,2
BHATEKHOLA,357,41,179,2
BYASI,335,230,148,5
CHAINPUR,637,407,147,13
CHAUDHARI,576,117,6,8
DAHABAGAR,526,426,63,20
DANGAJI,628,53,34,17
DATOLA,300,154,76,17
DAULICHAUR,742,52,42,3
DEULEKH,608,27,65,3
DEULIKOT,940,191,57,7
DHAMENA,23,312,122,6
GADARAYA,513,31,12,4
HEMANTABADA,329,180,37,3
KADEL,515,91,216,7
KAILASH,301,12,24,2
KALUKHETI,393,28,83,3
KANDA,347,8,5,3
KAPHALASERI,815,178,50,8
KHIRATADI,1163,116,118,15
KOIRALAKOT,369,134,90,22
KOT BHAIRAB,406,202,44,16
KOTDEWAL,458,15,80,5
LAMATOLA,249,106,14,1
LEKGAU,429,125,395,6
LUYANTA,358,135,30,2
MAJHIGAU,646,92,49,1
MALUMELA,295,64,49,2
MASTA,26,404,68,2
MATELA,309,76,63,3
MAULALI,590,13,15,5
MELBISAUNI,465,103,49,2
PARAKATNE,546,112,123,5
PATADEWAL,433,15,63,3
PAUWAGADHI,246,71,49,0
PIPALKOT,591,129,34,33
RAYAL,1037,107,6,2
RILU,403,222,190,4
RITHAPATA,310,209,62,5
SAINPASELA,799,127,172,19
SUBEDA,688,45,70,9
SUNIKOT,336,27,7,1
SUNKUDA,1132,58,67,2
SURMA,445,61,72,1
SYANDI,637,85,46,9
TOTAL,23604,6120,3732,317
