VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BAGESWORI,12,1100,770,977,300,171,59,238,885,9,183,89,0,81,25
BALKOT,52,3913,2496,3232,2502,1674,844,1364,3525,161,1338,398,7,1185,34
BHAKTAPUR MUNICIPALITY,424,17033,8640,15036,9889,5352,2198,4816,15418,647,4939,3684,92,3130,182
CHANGUNARAYAN,32,1304,882,1147,462,184,57,198,1062,12,260,21,2,109,38
CHHALING,75,1723,1094,1591,483,270,66,315,1489,25,362,211,8,118,19
CHITAPOL,74,1194,612,1051,512,189,60,184,961,23,217,27,1,126,6
DADHIKOT,54,2612,1615,2343,1394,841,307,763,2402,67,803,274,6,408,22
DUWAKOT,40,2305,1483,1949,1121,557,188,545,1985,68,731,224,2,317,67
GUNDU,77,1177,835,1004,552,220,67,304,1022,17,369,76,2,100,3
JHAUKHEL,27,1569,859,1405,775,371,119,417,1237,31,451,212,18,181,35
KAUTUNJE,69,4526,2571,3884,3128,1420,649,1183,4167,165,1153,340,11,1006,97
MADHYAPUR THIMI MUNICIPALITY,350,19785,12262,16307,13285,7529,3863,5626,18540,1044,6468,2483,97,4778,167
NAGARKOT,98,847,438,676,117,87,25,117,751,20,154,23,1,69,28
NANKHEL,26,1163,707,906,696,278,97,399,957,35,280,86,1,172,36
SIPADOL,85,2176,1216,1837,1249,518,213,416,2038,82,554,257,6,323,17
SIRUTAR,18,1011,686,965,515,279,127,415,869,14,387,123,10,156,4
SUDAL,63,1468,823,1291,311,128,17,163,1309,14,272,57,4,82,31
TATHALI,57,1194,531,1107,287,156,8,17,971,15,256,55,14,88,13
