VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BHAGABATI,502,87,1,1,0,0,3
BOHARIGAU,655,94,6,0,2,0,3
BRAMHADEV,264,77,1,0,0,9,0
BYASH,171,0,2,0,0,1,0
CHHAPARI,390,136,1,0,0,0,2
DADAKOT,317,45,2,0,1,0,0
DATTU,189,268,0,0,0,0,1
DETHALA,459,173,0,0,0,0,1
DHAP,555,331,6,1,0,0,3
DHARI,589,135,3,5,0,20,6
DHAULAKOT,379,83,2,0,0,0,5
DHULIGADA,643,96,0,1,0,2,5
EYARKOT,368,37,17,0,0,0,0
GHUSA,242,1,0,0,0,0,0
GOKULESWOR,499,182,4,2,0,0,14
GULJAR,616,40,0,0,0,0,1
GWANI,806,110,3,0,0,0,11
HIKILA,341,136,10,0,1,1,10
HUNAINATH,299,34,1,0,0,0,3
HUTI,374,89,0,1,0,0,0
KANTE,430,82,1,0,1,0,6
KHALANGA,406,1677,13,15,0,6,6
KHANDESWORI,505,14,1,0,0,0,1
KHAR,591,80,15,0,0,2,10
KHARKADA,556,8,7,1,0,0,3
LALI,437,110,0,4,0,0,1
LATINATH,731,49,0,0,0,2,5
MALIKARJUN,445,30,3,0,0,0,1
PIPALCHAURI,330,32,10,0,0,0,2
RANISIKHAR,295,17,7,0,0,117,2
RAPLA,168,37,2,2,3,27,0
RITHACHAUPATA,824,83,0,0,0,0,5
SANKARPUR,507,81,10,2,0,0,0
SERI,390,28,2,0,1,1,1
SHARMAULI,714,77,17,0,0,0,4
SIKHAR,445,86,10,0,0,16,2
SIPTI,685,58,3,0,0,0,3
SITAULA,549,3,4,1,0,0,0
SUNSERA,510,47,6,0,2,0,8
TAPOBAN,352,43,7,1,0,0,2
UKU,495,205,14,4,2,0,1
TOTAL,19023,5001,191,41,13,204,131
